axis,ligand_class,ligand_cardiac_enriched,receptor_enriched_in,n_enriched,survives_both
AGT->AGTR1,cardiac-expressed-but-not-enriched,False,,0,False
BMP4->ACVR2A,cardiac-expressed-but-not-enriched,False,,0,False
BMP4->ACVR2B,cardiac-expressed-but-not-enriched,False,BLCA;BRCA;COAD;ESCA;KIRP;LGG;LUAD;PRAD;SKCM;TGCT;THCA,11,False
BMP4->BMPR1A,cardiac-expressed-but-not-enriched,False,ACC;KIRP;LGG,3,False
BMP4->BMPR1B,cardiac-expressed-but-not-enriched,False,BRCA;ESCA;KICH;PCPG;PRAD;SKCM;UCEC,7,False
BMP4->BMPR2,cardiac-expressed-but-not-enriched,False,BRCA;ESCA;KICH;KIRC;KIRP;PAAD;PRAD;STAD;THCA,9,False
BMP6->ACVR1,not-cardiac,False,,0,False
BMP6->ACVR2A,not-cardiac,False,,0,False
BMP6->ACVR2B,not-cardiac,False,BLCA;BRCA;COAD;ESCA;KIRP;LGG;LUAD;PRAD;SKCM;TGCT;THCA,11,False
BMP6->BMPR1A,not-cardiac,False,ACC;KIRP;LGG,3,False
BMP6->BMPR1B,not-cardiac,False,BRCA;ESCA;KICH;PCPG;PRAD;SKCM;UCEC,7,False
BMP6->BMPR2,not-cardiac,False,BRCA;ESCA;KICH;KIRC;KIRP;PAAD;PRAD;STAD;THCA,9,False
CCL3->CCR1,not-cardiac,False,GBM;LGG;SKCM;TGCT,4,False
CCL3->CCR5,not-cardiac,False,BRCA;CESC;GBM;KIRC;KIRP;LGG;PRAD;SKCM;TGCT,9,False
CCL4->CCR5,not-cardiac,False,BRCA;CESC;GBM;KIRC;KIRP;LGG;PRAD;SKCM;TGCT,9,False
CCL5->ACKR1,not-cardiac,False,,0,False
CCL5->CCR1,not-cardiac,False,GBM;LGG;SKCM;TGCT,4,False
CCL5->CCR5,not-cardiac,False,BRCA;CESC;GBM;KIRC;KIRP;LGG;PRAD;SKCM;TGCT,9,False
CTF1->IL6ST,cardiac-expressed-but-not-enriched,False,,0,False
CTF1->LIFR,cardiac-expressed-but-not-enriched,False,KICH;LGG;PRAD,3,False
CX3CL1->CX3CR1,cardiac-expressed-but-not-enriched,False,BRCA;GBM;KICH;KIRC;KIRP;LGG;OV;PRAD;THCA,9,False
CXCL9->ACKR1,not-cardiac,False,,0,False
FGF1->FGFR1,cardiac-expressed-but-not-enriched,False,ACC;PCPG,2,False
FGF1->FGFR2,cardiac-expressed-but-not-enriched,False,LUSC;TGCT,2,False
FGF1->FGFR3,cardiac-expressed-but-not-enriched,False,BLCA;BRCA;CESC;LUSC;READ,5,False
FGF1->FGFR4,cardiac-expressed-but-not-enriched,False,READ,1,False
GAS6->AXL,cardiac-expressed-but-not-enriched,False,KIRC;PAAD,2,False
GAS6->MERTK,cardiac-expressed-but-not-enriched,False,KICH,1,False
GAS6->TYRO3,cardiac-expressed-but-not-enriched,False,ACC;BLCA;CESC;COAD;LIHC;PRAD;THCA,7,False
GDF10->ACVR1B,not-cardiac,False,ACC;PCPG;READ,3,False
GDF10->ACVR2A,not-cardiac,False,,0,False
GDF15->TGFBR2,not-cardiac,False,,0,False
GDF6->ACVR2A,not-cardiac,False,,0,False
GDF6->ACVR2B,not-cardiac,False,BLCA;BRCA;COAD;ESCA;KIRP;LGG;LUAD;PRAD;SKCM;TGCT;THCA,11,False
GDF6->BMPR1A,not-cardiac,False,ACC;KIRP;LGG,3,False
GDF6->BMPR1B,not-cardiac,False,BRCA;ESCA;KICH;PCPG;PRAD;SKCM;UCEC,7,False
GDF6->BMPR2,not-cardiac,False,BRCA;ESCA;KICH;KIRC;KIRP;PAAD;PRAD;STAD;THCA,9,False
GDF9->ACVR1B,not-cardiac,False,ACC;PCPG;READ,3,False
GDF9->BMPR2,not-cardiac,False,BRCA;ESCA;KICH;KIRC;KIRP;PAAD;PRAD;STAD;THCA,9,False
GRN->SORT1,cardiac-expressed-but-not-enriched,False,LIHC;OV,2,False
GZMA->F2R,not-cardiac,False,ESCA;GBM;LGG;PAAD;STAD,5,False
GZMA->F2RL1,not-cardiac,False,BLCA;CESC;GBM;LGG;LUAD;LUSC;OV;PRAD;READ;TGCT;UCEC,11,False
GZMA->F2RL2,not-cardiac,False,BRCA;ESCA;GBM;PAAD;STAD;TGCT,6,False
GZMA->F2RL3,not-cardiac,False,LIHC;PCPG,2,False
GZMA->PARD3,not-cardiac,False,,0,False
HBEGF->EGFR,cardiac-expressed-but-not-enriched,False,GBM;KIRC;LGG;LUSC,4,False
HBEGF->ERBB2,cardiac-expressed-but-not-enriched,False,,0,False
HBEGF->ERBB4,cardiac-expressed-but-not-enriched,False,BRCA;KICH;LGG;OV;PCPG;PRAD;UCEC,7,False
IGF1->IGF1R,not-cardiac,False,BRCA;ESCA;KICH;KIRP;LUAD;LUSC;PRAD,7,False
IGF1->ITGA6,not-cardiac,False,ACC;LIHC;PCPG;READ,4,False
IGF1->ITGAV,not-cardiac,False,ESCA,1,False
IGF1->ITGB3,not-cardiac,False,GBM;PAAD;SKCM,3,False
IGF1->ITGB4,not-cardiac,False,KIRP;LIHC;LUAD;LUSC;OV;PAAD;THCA,7,False
IGF2->IGF1R,cardiac-expressed-but-not-enriched,False,BRCA;ESCA;KICH;KIRP;LUAD;LUSC;PRAD,7,False
IGF2->IGF2R,cardiac-expressed-but-not-enriched,False,BRCA;GBM;KICH;KIRC;KIRP;LGG;LUAD;PRAD;THCA,9,False
IGF2->ITGA6,cardiac-expressed-but-not-enriched,False,ACC;LIHC;PCPG;READ,4,False
IGF2->ITGAV,cardiac-expressed-but-not-enriched,False,ESCA,1,False
IGF2->ITGB3,cardiac-expressed-but-not-enriched,False,GBM;PAAD;SKCM,3,False
IGF2->ITGB4,cardiac-expressed-but-not-enriched,False,KIRP;LIHC;LUAD;LUSC;OV;PAAD;THCA,7,False
IL16->CD4,not-cardiac,False,GBM;STAD;TGCT,3,False
IL17B->IL17RB,not-cardiac,False,,0,False
INHBA->ACVR1B,not-cardiac,False,ACC;PCPG;READ,3,False
INHBA->ACVR2A,not-cardiac,False,,0,False
INHBA->ACVR2B,not-cardiac,False,BLCA;BRCA;COAD;ESCA;KIRP;LGG;LUAD;PRAD;SKCM;TGCT;THCA,11,False
LGALS9->CD44,cardiac-expressed-but-not-enriched,False,GBM;KICH;KIRC;KIRP;LGG;LIHC;OV;PCPG;TGCT,9,False
LGALS9->HAVCR2,cardiac-expressed-but-not-enriched,False,CESC;GBM;LGG,3,False
LGALS9->PTPRC,cardiac-expressed-but-not-enriched,False,BRCA;CESC;ESCA;GBM;KIRC;KIRP;LGG;OV;PAAD;PRAD;STAD;TGCT,12,False
MDK->ITGA4,cardiac-expressed-but-not-enriched,False,BRCA;ESCA;GBM;KICH;KIRC;KIRP;OV;PAAD;PRAD;SKCM;STAD;TGCT,12,False
MDK->ITGA6,cardiac-expressed-but-not-enriched,False,ACC;LIHC;PCPG;READ,4,False
MDK->ITGB1,cardiac-expressed-but-not-enriched,False,,0,False
MDK->LRP1,cardiac-expressed-but-not-enriched,False,KIRC;KIRP,2,False
MDK->NCL,cardiac-expressed-but-not-enriched,False,,0,False
MDK->PTPRZ1,cardiac-expressed-but-not-enriched,False,CESC;LUSC,2,False
MDK->SDC1,cardiac-expressed-but-not-enriched,False,BRCA;CESC;GBM;OV;READ;THCA;UCEC,7,False
MDK->SDC2,cardiac-expressed-but-not-enriched,False,ACC;PCPG,2,False
MDK->SDC4,cardiac-expressed-but-not-enriched,False,,0,False
MSTN->ACVR1B,not-cardiac,False,ACC;PCPG;READ,3,False
MSTN->ACVR2A,not-cardiac,False,,0,False
