axis,ligand,receptor_subunit,ligand_class,A1_pass,min_log2FC,A2_pass,min_ratio_GAPDH,A3_pass,best_heart_rank,top_tissue,ligand_passes_corrected,receptor_enriched_in_adjnormal,n_enriched_adjnormal,receptor_passes,survives_both_corrected,ligand_cardiac_enriched_original,survives_both_original,receptor_enriched_in_gtexrank,n_enriched_gtexrank,survives_both_sensitivity_gtexrank
AGT->AGTR1,AGT,AGTR1,cardiac-expressed-but-not-enriched,False,0.1340849765140032,True,0.04477929992749559,True,11.0,Liver,False,,0,False,False,False,False,,0,False
BMP4->ACVR2A,BMP4,ACVR2A,not-cardiac (below tissue median),False,0.8020750052388378,False,0.004738517602775999,False,29.0,Vagina,False,,0,False,False,False,False,PCPG,1,False
BMP4->ACVR2B,BMP4,ACVR2B,not-cardiac (below tissue median),False,0.8020750052388378,False,0.004738517602775999,False,29.0,Vagina,False,,0,False,False,False,False,BRCA;KIRP;LGG;PCPG;TGCT;UCS,6,False
BMP4->BMPR1A,BMP4,BMPR1A,not-cardiac (below tissue median),False,0.8020750052388378,False,0.004738517602775999,False,29.0,Vagina,False,,0,False,False,False,False,ACC;BRCA;CHOL;ESCA;GBM;KIRC;KIRP;LGG;LUAD;LUSC;MESO;PCPG;PRAD;TGCT,14,False
BMP4->BMPR1B,BMP4,BMPR1B,not-cardiac (below tissue median),False,0.8020750052388378,False,0.004738517602775999,False,29.0,Vagina,False,KICH;PRAD,2,True,False,False,False,KICH;LGG;PCPG;PRAD;UCEC,5,False
BMP4->BMPR2,BMP4,BMPR2,not-cardiac (below tissue median),False,0.8020750052388378,False,0.004738517602775999,False,29.0,Vagina,False,,0,False,False,False,False,BLCA;BRCA;CHOL;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LGG;LIHC;OV;PAAD;PCPG;PRAD;SARC;SKCM;STAD;TGCT;THCA;UCEC;UCS,22,False
BMP6->ACVR1,BMP6,ACVR1,not-cardiac (below tissue median),False,0.4694160513240288,False,0.0017177207215008476,False,28.0,Adipose_Subcutaneous,False,ESCA;HNSC;LUSC;THCA,4,True,False,False,False,ESCA;KICH;LUAD;LUSC;MESO;PCPG;TGCT;THCA,8,False
BMP6->ACVR2A,BMP6,ACVR2A,not-cardiac (below tissue median),False,0.4694160513240288,False,0.0017177207215008476,False,28.0,Adipose_Subcutaneous,False,,0,False,False,False,False,PCPG,1,False
BMP6->ACVR2B,BMP6,ACVR2B,not-cardiac (below tissue median),False,0.4694160513240288,False,0.0017177207215008476,False,28.0,Adipose_Subcutaneous,False,,0,False,False,False,False,BRCA;KIRP;LGG;PCPG;TGCT;UCS,6,False
BMP6->BMPR1A,BMP6,BMPR1A,not-cardiac (below tissue median),False,0.4694160513240288,False,0.0017177207215008476,False,28.0,Adipose_Subcutaneous,False,,0,False,False,False,False,ACC;BRCA;CHOL;ESCA;GBM;KIRC;KIRP;LGG;LUAD;LUSC;MESO;PCPG;PRAD;TGCT,14,False
BMP6->BMPR1B,BMP6,BMPR1B,not-cardiac (below tissue median),False,0.4694160513240288,False,0.0017177207215008476,False,28.0,Adipose_Subcutaneous,False,KICH;PRAD,2,True,False,False,False,KICH;LGG;PCPG;PRAD;UCEC,5,False
BMP6->BMPR2,BMP6,BMPR2,not-cardiac (below tissue median),False,0.4694160513240288,False,0.0017177207215008476,False,28.0,Adipose_Subcutaneous,False,,0,False,False,False,False,BLCA;BRCA;CHOL;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LGG;LIHC;OV;PAAD;PCPG;PRAD;SARC;SKCM;STAD;TGCT;THCA;UCEC;UCS,22,False
CCL3->CCR1,CCL3,CCR1,cardiac-expressed-but-not-enriched,False,0.7729684101325457,False,0.00023797721786252834,True,22.0,Spleen,False,,0,False,False,False,False,GBM,1,False
