tme_feature,rho,p,n,fdr
Bcell_receptors_score,0.5715239154616241,0.0009700661758228009,30,0.028131919098861227
Macrophages,0.44293659621801995,0.014234196168298905,30,0.20639584444033413
CD8A,0.4091212458286986,0.02477381428515044,30,0.2088273221284883
LYM,0.3993325917686318,0.028803768569446664,30,0.2088273221284883
CD8_CD68_ratio,0.37267771951603673,0.04253655316170223,30,0.2431122382321958
STAT1_score,0.3503893214682981,0.05765772066954481,30,0.2431122382321958
TGFB_score_21050467,0.34905450500556173,0.05868226440087485,30,0.2431122382321958
stromal_fraction,0.33170189098998887,0.07334251052499313,30,0.24569382521041325
TGFB_PCA_17349583,0.32858731924360396,0.07624980782392135,30,0.24569382521041325
Troester_WoundSig_19887484,0.30945494994438266,0.09609934805462504,30,0.2786881093584126
LIexpression_score,0.29032258064516125,0.11962937785960141,30,0.3153865416298583
n_samples,0.2545333200754305,0.17466127242880883,30,0.422098075036288
TAMsurr_score,0.2413793103448276,0.1987881943178841,30,0.4316119021634463
Tcell_receptors_score,0.22180200222469412,0.23880395639710442,30,0.4316119021634463
IFNG_score_21050467,0.217797552836485,0.24760667595245625,30,0.4316119021634463
tumor_purity,-0.21170975335859757,0.26139556702589617,30,0.4316119021634463
ICR_SCORE,0.20845383759733035,0.26897217902440934,30,0.4316119021634463
Chemokine12_score,0.20622914349276972,0.2742302208718074,30,0.4316119021634463
Neutrophils,0.20266963292547271,0.2827802117622579,30,0.4316119021634463
leukocyte_fraction,0.16173526140155728,0.39318199879875265,30,0.5664409613123419
Lymph vessels,0.15417130144605118,0.41597149740735956,30,0.5664409613123419
T cells,0.14972191323692993,0.4297138327197076,30,0.5664409613123419
CD68,0.09098998887652948,0.6325149154939781,30,0.7692251007960461
Angiogenesis,0.0878754171301446,0.6442557464425088,30,0.7692251007960461
CHANG_CORE_SERUM_RESPONSE_UP,0.07897664071190211,0.6782581459823961,30,0.7692251007960461
CSR_Activated_15701700,-0.07274749721913237,0.7024388474244606,30,0.7692251007960461
ploidy,0.06924192239214545,0.7161750938445947,30,0.7692251007960461
Module11_Prolif_score,0.029143492769744164,0.8784968881047432,30,0.9098717769656269
Mast cells,0.01668520578420467,0.9302651097406684,30,0.9302651097406684
