arm,subtype_matched_stratum,cell_line,ModelID,lineage,subtype,receptor,receptor_expr_log2tpm1,receptor_panel_pct,cofactor_LRP5_expr,cofactor_LRP6_expr,baseline_activity_log2tpm1,n_activity_genes,receptor_gene_effect,housekeeping_mean_log2tpm1,release
responder_high_receptor,mixed_uterine (primary panel),SNU685,ACH-000407,Uterus,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,FZD7,4.738227400367242,94.44444444444444,5.827310943949667,3.017921907997262,0.5323698163138213,8,0.0583008037394277,8.83853743400708,24Q4
responder_high_receptor,mixed_uterine (primary panel),EMTOKA,ACH-001495,Uterus,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,FZD7,3.61706334388818,80.55555555555556,4.575312330687437,3.127633279725874,0.6830000346450809,8,0.3290913843311185,9.509661053704816,24Q4
responder_high_receptor,mixed_uterine (primary panel),JHUEM3,ACH-000173,Uterus,Endometrial Carcinoma,FZD7,4.749534267669262,97.22222222222221,5.628190334615213,3.2433644256936605,0.8331862140078855,8,,8.916777099389789,24Q4
responder_high_receptor,mixed_uterine (primary panel),SNU1077,ACH-000302,Uterus,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,FZD7,3.423578170981797,77.77777777777779,4.566206293465506,3.058316495590823,0.9066548266526397,8,0.0849571281793893,8.706887864352797,24Q4
control_low_receptor,mixed_uterine (primary panel),HEC108,ACH-000990,Uterus,Endometrial Carcinoma,FZD7,0.0840642647884745,2.7777777777777777,5.348728154231077,4.127633279725874,1.7690232416795206,8,,8.842405732387782,24Q4
control_low_receptor,mixed_uterine (primary panel),HOUAI,ACH-002027,Uterus,Endometrial Carcinoma,FZD7,0.2141248053528473,5.555555555555555,4.611762560064872,2.3103401206121505,1.2131598001368153,8,0.0823133072228648,8.489681430138946,24Q4
control_low_receptor,mixed_uterine (primary panel),HEC151,ACH-000972,Uterus,Endometrial Carcinoma,FZD7,0.7048719644563528,8.333333333333332,3.77082904603249,2.883620816285672,0.6064561500566656,8,0.1152069036840071,8.969738211572503,24Q4
control_low_receptor,mixed_uterine (primary panel),HEC251,ACH-000996,Uterus,Endometrial Carcinoma,FZD7,0.7136958148433591,11.11111111111111,5.173127433480656,3.738767836800192,0.974957613808914,8,0.1372029889275586,9.12189169067891,24Q4
responder_high_receptor_subtype_matched_EC,Endometrial Carcinoma only,JHUEM2,ACH-000909,Uterus,Endometrial Carcinoma,FZD7,5.067810783789621,100.0,4.798050514767515,4.289834465177509,4.8329832849171375,8,,9.549212882810648,24Q4
responder_high_receptor_subtype_matched_EC,Endometrial Carcinoma only,JHUEM3,ACH-000173,Uterus,Endometrial Carcinoma,FZD7,4.749534267669262,96.0,5.628190334615213,3.2433644256936605,0.8331862140078855,8,,8.916777099389789,24Q4
responder_high_receptor_subtype_matched_EC,Endometrial Carcinoma only,MFE280,ACH-000192,Uterus,Endometrial Carcinoma,FZD7,4.661635602335959,92.0,4.710944154575872,3.33771109212829,1.8050122354552371,8,0.137114565059497,9.02368719636898,24Q4
responder_high_receptor_subtype_matched_EC,Endometrial Carcinoma only,KLE,ACH-000293,Uterus,Endometrial Carcinoma,FZD7,4.473786911614368,88.0,3.8308637567517576,2.752748591407134,1.1835953092750922,8,0.2902794941767231,9.556245676438937,24Q4
control_low_receptor_subtype_matched_EC,Endometrial Carcinoma only,HEC108,ACH-000990,Uterus,Endometrial Carcinoma,FZD7,0.0840642647884745,4.0,5.348728154231077,4.127633279725874,1.7690232416795206,8,,8.842405732387782,24Q4
control_low_receptor_subtype_matched_EC,Endometrial Carcinoma only,HOUAI,ACH-002027,Uterus,Endometrial Carcinoma,FZD7,0.2141248053528473,8.0,4.611762560064872,2.3103401206121505,1.2131598001368153,8,0.0823133072228648,8.489681430138946,24Q4
control_low_receptor_subtype_matched_EC,Endometrial Carcinoma only,HEC151,ACH-000972,Uterus,Endometrial Carcinoma,FZD7,0.7048719644563528,12.0,3.77082904603249,2.883620816285672,0.6064561500566656,8,0.1152069036840071,8.969738211572503,24Q4
control_low_receptor_subtype_matched_EC,Endometrial Carcinoma only,HEC251,ACH-000996,Uterus,Endometrial Carcinoma,FZD7,0.7136958148433591,16.0,5.173127433480656,3.738767836800192,0.974957613808914,8,0.1372029889275586,9.12189169067891,24Q4
