complex_name,subunit_index,subunit_gene,n_subunits
ACVR1B_ACVR2A,1,ACVR1B,2
ACVR1B_ACVR2A,2,ACVR2A,2
ACVR1B_ACVR2A_CFC1,1,ACVR1B,3
ACVR1B_ACVR2A_CFC1,2,ACVR2A,3
ACVR1B_ACVR2A_CFC1,3,CFC1,3
ACVR1B_ACVR2B,1,ACVR1B,2
ACVR1B_ACVR2B,2,ACVR2B,2
ACVR1B_ACVR2B_CFC1,1,ACVR1B,3
ACVR1B_ACVR2B_CFC1,2,ACVR2B,3
ACVR1B_ACVR2B_CFC1,3,CFC1,3
ACVR1B_BMPR2,1,ACVR1B,2
ACVR1B_BMPR2,2,BMPR2,2
ACVR1B_TGFbR2,1,ACVR1B,2
ACVR1B_TGFbR2,2,TGFBR2,2
ACVR1C_ACVR2A,1,ACVR1C,2
ACVR1C_ACVR2A,2,ACVR2A,2
ACVR1C_ACVR2A_CFC1,1,ACVR1C,3
ACVR1C_ACVR2A_CFC1,2,ACVR2A,3
ACVR1C_ACVR2A_CFC1,3,CFC1,3
ACVR1C_ACVR2B,1,ACVR1C,2
ACVR1C_ACVR2B,2,ACVR2B,2
ACVR1C_ACVR2B_CFC1,1,ACVR1C,3
ACVR1C_ACVR2B_CFC1,2,ACVR2B,3
ACVR1C_ACVR2B_CFC1,3,CFC1,3
ACVR1C_TGFbR2,1,ACVR1C,2
ACVR1C_TGFbR2,2,TGFBR2,2
ACVR1_ACVR2A,1,ACVR1,2
ACVR1_ACVR2A,2,ACVR2A,2
ACVR1_ACVR2B,1,ACVR1,2
ACVR1_ACVR2B,2,ACVR2B,2
ACVR1_BMPR2,1,ACVR1,2
ACVR1_BMPR2,2,BMPR2,2
ACVR1_TGFbR,1,ACVR1,3
ACVR1_TGFbR,2,TGFBR1,3
ACVR1_TGFbR,3,TGFBR2,3
ACVRL1_ACVR2A,1,ACVRL1,2
ACVRL1_ACVR2A,2,ACVR2A,2
ACVRL1_BMPR2,1,ACVRL1,2
ACVRL1_BMPR2,2,BMPR2,2
AMHR2_ACVR1,1,AMHR2,2
AMHR2_ACVR1,2,ACVR1,2
AMHR2_BMPR1A,1,AMHR2,2
AMHR2_BMPR1A,2,BMPR1A,2
Activin AB,1,INHBA,2
Activin AB,2,INHBB,2
BMPR1A_ACVR2A,1,BMPR1A,2
BMPR1A_ACVR2A,2,ACVR2A,2
BMPR1A_ACVR2B,1,BMPR1A,2
BMPR1A_ACVR2B,2,ACVR2B,2
BMPR1A_BMPR2,1,BMPR1A,2
BMPR1A_BMPR2,2,BMPR2,2
BMPR1B_ACVR2A,1,BMPR1B,2
BMPR1B_ACVR2A,2,ACVR2A,2
BMPR1B_ACVR2B,1,BMPR1B,2
BMPR1B_ACVR2B,2,ACVR2B,2
BMPR1B_BMPR2,1,BMPR1B,2
BMPR1B_BMPR2,2,BMPR2,2
CD74_CD44,1,CD74,2
CD74_CD44,2,CD44,2
CD74_CXCR2,1,CD74,2
CD74_CXCR2,2,CXCR2,2
CD74_CXCR4,1,CD74,2
CD74_CXCR4,2,CXCR4,2
CD8 receptor,1,CD8A,2
CD8 receptor,2,CD8B,2
CD94:NKG2A,1,KLRD1,2
CD94:NKG2A,2,KLRC1,2
CD94:NKG2C,1,KLRD1,2
CD94:NKG2C,2,KLRC2,2
CD94:NKG2E,1,KLRD1,2
CD94:NKG2E,2,KLRC3,2
CNTFR_LIFR,1,CNTFR,3
CNTFR_LIFR,2,LIFR,3
CNTFR_LIFR,3,IL6ST,3
CNTN1_CNTNAP1,1,CNTN1,2
CNTN1_CNTNAP1,2,CNTNAP1,2
CNTN2_CNTNAP2,1,CNTN2,2
CNTN2_CNTNAP2,2,CNTNAP2,2
CSF2RA_CSF2RB,1,CSF2RA,2
CSF2RA_CSF2RB,2,CSF2RB,2
EGFR_ERBB2,1,EGFR,2
EGFR_ERBB2,2,ERBB2,2
ERBB2_ERBB3,1,ERBB2,2
ERBB2_ERBB3,2,ERBB3,2
ERBB2_ERBB4,1,ERBB2,2
ERBB2_ERBB4,2,ERBB4,2
FLT1_KDR,1,FLT1,2
FLT1_KDR,2,KDR,2
FLT4_KDR,1,FLT4,2
FLT4_KDR,2,KDR,2
FPR2_LXA4,1,FPR2,2
FPR2_LXA4,2,FPR3,2
FZD10_LRP5,1,FZD10,2
FZD10_LRP5,2,LRP5,2
FZD10_LRP6,1,FZD10,2
FZD10_LRP6,2,LRP6,2
FZD1_LRP5,1,FZD1,2
FZD1_LRP5,2,LRP5,2
FZD1_LRP6,1,FZD1,2
