n_multisubunit_complexes,n_ligandcomplex_pairs_with_multiple_subunit_axes,ligand,complex,n_subunits,subunits,is_multisubunit,ligand_passes_corrected,n_types_enriched_min_rule,types_enriched_min_rule,n_types_enriched_anysubunit,complex_survives_min_rule,complex_survives_anysubunit,n_subunit_axes_surviving_published,n_types_enriched_geomean,complex_survives_geomean,inflated_vs_complex_min_rule
102,98,CRITERION_PREREGISTERED,Subunit expansion INFLATED a count iff the complex-level tally differs from the published subunit-level tally for that count.,,"complex enriched in a type iff ALL subunits enriched there (min/obligate rule); geomean alt = mean log2FC>0, max subunit FDR<0.05, geometric-mean tumour median >= floor 345.6725",,,,,,,,,,,
102,98,AGT,AGTR1,1.0,AGTR1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,AGT,MAS1,1.0,MAS1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,BMP4,BMPR1A_ACVR2A,2.0,ACVR2A;BMPR1A,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,BMP4,BMPR1A_ACVR2B,2.0,ACVR2B;BMPR1A,1.0,0.0,0.0,,0.0,False,False,0.0,1.0,False,False
102,98,BMP4,BMPR1A_BMPR2,2.0,BMPR1A;BMPR2,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,BMP4,BMPR1B_ACVR2A,2.0,ACVR2A;BMPR1B,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
102,98,BMP4,BMPR1B_ACVR2B,2.0,ACVR2B;BMPR1B,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
102,98,BMP4,BMPR1B_BMPR2,2.0,BMPR1B;BMPR2,1.0,0.0,0.0,,2.0,False,False,0.0,3.0,False,False
102,98,BMP6,ACVR1_ACVR2A,2.0,ACVR1;ACVR2A,1.0,0.0,0.0,,4.0,False,False,0.0,2.0,False,False
102,98,BMP6,ACVR1_ACVR2B,2.0,ACVR1;ACVR2B,1.0,0.0,0.0,,4.0,False,False,0.0,5.0,False,False
102,98,BMP6,ACVR1_BMPR2,2.0,ACVR1;BMPR2,1.0,0.0,0.0,,4.0,False,False,0.0,1.0,False,False
102,98,BMP6,BMPR1A_ACVR2A,2.0,ACVR2A;BMPR1A,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,BMP6,BMPR1A_ACVR2B,2.0,ACVR2B;BMPR1A,1.0,0.0,0.0,,0.0,False,False,0.0,1.0,False,False
102,98,BMP6,BMPR1A_BMPR2,2.0,BMPR1A;BMPR2,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,BMP6,BMPR1B_ACVR2A,2.0,ACVR2A;BMPR1B,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
102,98,BMP6,BMPR1B_ACVR2B,2.0,ACVR2B;BMPR1B,1.0,0.0,0.0,,2.0,False,False,0.0,2.0,False,False
102,98,BMP6,BMPR1B_BMPR2,2.0,BMPR1B;BMPR2,1.0,0.0,0.0,,2.0,False,False,0.0,3.0,False,False
102,98,CCL3,ACKR2,1.0,ACKR2,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL3,CCR1,1.0,CCR1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL3,CCR5,1.0,CCR5,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL4,ACKR2,1.0,ACKR2,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL4,CCR5,1.0,CCR5,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL5,ACKR1,1.0,ACKR1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL5,ACKR2,1.0,ACKR2,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL5,CCR1,1.0,CCR1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL5,CCR3,1.0,CCR3,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL5,CCR4,1.0,CCR4,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CCL5,CCR5,1.0,CCR5,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CTF1,LIFR_IL6ST,2.0,IL6ST;LIFR,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CX3CL1,CX3CR1,1.0,CX3CR1,0.0,0.0,1.0,KIRC,1.0,False,False,0.0,1.0,False,False
102,98,CXCL9,ACKR1,1.0,ACKR1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,CXCL9,CXCR3,1.0,CXCR3,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,FGF1,FGFR1,1.0,FGFR1,0.0,0.0,1.0,KICH,1.0,False,False,0.0,1.0,False,False
