interaction_name,pathway_name,ligand_subunit_gene,receptor,receptor_subunit_gene,n_receptor_subunits,receptor_is_complex,annotation,evidence,ligand_availability,passed_floor,receptor_max_across_types
NPPA_NPR1,NPR1,NPPA,NPR1,NPR1,1,False,Secreted Signaling,KEGG: hsa04080; PMID: 29934640,3.0542,True,3374.19
NPPB_NPR1,NPR1,NPPB,NPR1,NPR1,1,False,Secreted Signaling,KEGG: hsa04080; PMID: 29934641,3.0289,True,3374.19
WNT9A_FZD1_LRP5,WNT,WNT9A,FZD1_LRP5,FZD1,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4514.61
WNT9A_FZD1_LRP5,WNT,WNT9A,FZD1_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD10_LRP5,WNT,WNT9A,FZD10_LRP5,FZD10,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,424.42
WNT9A_FZD10_LRP5,WNT,WNT9A,FZD10_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD2_LRP5,WNT,WNT9A,FZD2_LRP5,FZD2,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,1140.95
WNT9A_FZD2_LRP5,WNT,WNT9A,FZD2_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD3_LRP5,WNT,WNT9A,FZD3_LRP5,FZD3,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,418.09
WNT9A_FZD3_LRP5,WNT,WNT9A,FZD3_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD4_LRP5,WNT,WNT9A,FZD4_LRP5,FZD4,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4572.16
WNT9A_FZD4_LRP5,WNT,WNT9A,FZD4_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD5_LRP5,WNT,WNT9A,FZD5_LRP5,FZD5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,1917.36
WNT9A_FZD5_LRP5,WNT,WNT9A,FZD5_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD6_LRP5,WNT,WNT9A,FZD6_LRP5,FZD6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2652.89
WNT9A_FZD6_LRP5,WNT,WNT9A,FZD6_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD7_LRP5,WNT,WNT9A,FZD7_LRP5,FZD7,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,1273.54
WNT9A_FZD7_LRP5,WNT,WNT9A,FZD7_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD8_LRP5,WNT,WNT9A,FZD8_LRP5,FZD8,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,680.37
WNT9A_FZD8_LRP5,WNT,WNT9A,FZD8_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD9_LRP5,WNT,WNT9A,FZD9_LRP5,FZD9,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,513.3
WNT9A_FZD9_LRP5,WNT,WNT9A,FZD9_LRP5,LRP5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4321.57
WNT9A_FZD1_LRP6,WNT,WNT9A,FZD1_LRP6,FZD1,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4514.61
WNT9A_FZD1_LRP6,WNT,WNT9A,FZD1_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD10_LRP6,WNT,WNT9A,FZD10_LRP6,FZD10,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,424.42
WNT9A_FZD10_LRP6,WNT,WNT9A,FZD10_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD2_LRP6,WNT,WNT9A,FZD2_LRP6,FZD2,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,1140.95
WNT9A_FZD2_LRP6,WNT,WNT9A,FZD2_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD3_LRP6,WNT,WNT9A,FZD3_LRP6,FZD3,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,418.09
WNT9A_FZD3_LRP6,WNT,WNT9A,FZD3_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD4_LRP6,WNT,WNT9A,FZD4_LRP6,FZD4,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,4572.16
WNT9A_FZD4_LRP6,WNT,WNT9A,FZD4_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD5_LRP6,WNT,WNT9A,FZD5_LRP6,FZD5,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,1917.36
WNT9A_FZD5_LRP6,WNT,WNT9A,FZD5_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD6_LRP6,WNT,WNT9A,FZD6_LRP6,FZD6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2652.89
WNT9A_FZD6_LRP6,WNT,WNT9A,FZD6_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD7_LRP6,WNT,WNT9A,FZD7_LRP6,FZD7,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,1273.54
WNT9A_FZD7_LRP6,WNT,WNT9A,FZD7_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD8_LRP6,WNT,WNT9A,FZD8_LRP6,FZD8,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,680.37
WNT9A_FZD8_LRP6,WNT,WNT9A,FZD8_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
WNT9A_FZD9_LRP6,WNT,WNT9A,FZD9_LRP6,FZD9,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,513.3
WNT9A_FZD9_LRP6,WNT,WNT9A,FZD9_LRP6,LRP6,2,True,Secreted Signaling,KEGG: hsa04310; PMID: 23209147,2.323,True,2850.96
CCL5_CCR1,CCL,CCL5,CCR1,CCR1,1,False,Secreted Signaling,KEGG: hsa04060,1.5915,True,388.03
CCL5_CCR5,CCL,CCL5,CCR5,CCR5,1,False,Secreted Signaling,KEGG: hsa04060,1.5915,True,363.0
CCL5_ACKR1,CCL,CCL5,ACKR1,ACKR1,1,False,Secreted Signaling,PMID: 26740381,1.5915,True,480.66
CXCL9_ACKR1,CXCL,CXCL9,ACKR1,ACKR1,1,False,Secreted Signaling,PMID: 26740381,1.3374,True,480.66
GDF10_ACVR1B_ACVR2A,GDF,GDF10,ACVR1B_ACVR2A,ACVR1B,2,True,Secreted Signaling,KEGG: hsa04350,1.1147,True,2851.51
GDF10_ACVR1B_ACVR2A,GDF,GDF10,ACVR1B_ACVR2A,ACVR2A,2,True,Secreted Signaling,KEGG: hsa04350,1.1147,True,604.37
POSTN_ITGAV_ITGB3,PERIOSTIN,POSTN,ITGAV_ITGB3,ITGAV,2,True,Secreted Signaling,PMID: 26721738,1.0492,True,6627.98
POSTN_ITGAV_ITGB3,PERIOSTIN,POSTN,ITGAV_ITGB3,ITGB3,2,True,Secreted Signaling,PMID: 26721738,1.0492,True,2672.68
POSTN_ITGAV_ITGB5,PERIOSTIN,POSTN,ITGAV_ITGB5,ITGAV,2,True,Secreted Signaling,PMID: 26721738,1.0492,True,6627.98
POSTN_ITGAV_ITGB5,PERIOSTIN,POSTN,ITGAV_ITGB5,ITGB5,2,True,Secreted Signaling,PMID: 26721738,1.0492,True,6558.01
CX3CL1_CX3CR1,CX3C,CX3CL1,CX3CR1,CX3CR1,1,False,Secreted Signaling,KEGG: hsa04060,0.9787,True,1135.54
MDK_SDC1,MK,MDK,SDC1,SDC1,1,False,Secreted Signaling,PMID: 28356350,0.8845,True,28027.1
MDK_SDC2,MK,MDK,SDC2,SDC2,1,False,Secreted Signaling,PMID: 28356350,0.8845,True,11004.6
MDK_SDC4,MK,MDK,SDC4,SDC4,1,False,Secreted Signaling,PMID: 28356350,0.8845,True,26282.45
MDK_PTPRZ1,MK,MDK,PTPRZ1,PTPRZ1,1,False,Secreted Signaling,PMID: 28356350,0.8845,True,32670.45
MDK_ITGA4_ITGB1,MK,MDK,ITGA4_ITGB1,ITGA4,2,True,Secreted Signaling,PMID: 28356350,0.8845,True,931.58
