wave,track,status,model,duration_min,input_tokens,output_tokens,cost_usd
1,HF signature,failed,claude-opus-5,28.0,4527419,62198,5.91222225
1,Secretome and ligands,completed,claude-opus-5,28.4,2085629,41427,3.092837
1,Tumor axis,failed,claude-opus-5,32.9,5655747,67858,6.585991000000002
1,Literature base,failed,claude-opus-5,18.6,7645681,72152,9.727126250000001
1,DepMap,completed,claude-opus-5,46.2,2427575,36947,2.8687300000000002
1,Normal tissue,cancelled,claude-opus-5,198.9,5263787,47865,6.323094999999999
1,Normal tissue,completed,claude-opus-5,16.6,2699600,35497,3.9621982499999997
2,Failing-heart source,completed,claude-opus-5,9.9,1946603,26720,2.5378472499999996
2,NPR1 exploratory,completed,claude-opus-5,30.4,2056802,24758,2.4846617500000003
2,Receptor discrimination,completed,claude-opus-5,7.5,1036844,14444,1.1661670000000002
2,Injury generality,completed,claude-opus-5,36.2,4161719,38307,4.623282750000001
2,Plasma evidence,completed,claude-opus-5,44.1,7943491,61189,7.756729500000004
3,Proteome,completed,claude-opus-5,1880.3,8459276,98977,10.39248275
3,Platforms,completed,claude-opus-5,1870.7,10867954,114739,12.022489750000002
4,Prior art,completed,claude-opus-5,70.7,5157040,36543,6.0555885
4,MR corpus,completed,claude-opus-5,77.6,6397894,58436,7.031367750000001
4,Claim audit,completed,claude-opus-5,81.2,17105129,142366,16.021604749999995
4,Instrument audit,completed,claude-opus-5,58.6,7899464,67386,7.779051249999998
4,Instrument verdicts,completed,claude-opus-5,132.0,11664492,92849,10.861527749999997
4,Synthesis,completed,claude-opus-5,51.4,19560006,113489,18.01329375
5,limma,completed,claude-opus-5,21.1,3150953,47302,4.7912082499999995
5,Sensitivity,completed,claude-opus-5,49.7,9483002,77237,9.266955500000002
5,Citations,completed,claude-opus-5,20.5,3797744,51973,4.954091750000001
