gene,spearman_rho,p_value,n_lineages,fdr,verdict,min_mean_gene_effect_any_lineage,is_dependency_anywhere,release
CD4,-0.4861660079051384,0.021783087892448566,22,0.7841149618137859,nominal only (fails FDR),-0.041287529496348715,False,24Q4
ACVR1B,-0.4624505928853756,0.030231878253170995,22,0.7841149618137859,nominal only (fails FDR),-0.2609159809386502,False,24Q4
FZD3,-0.4342179559570865,0.04346507477769573,22,0.7841149618137859,nominal only (fails FDR),-0.06370776879648768,False,24Q4
F2RL1,-0.39130434782608703,0.07172835643718847,22,0.7841149618137859,not significant,-0.0438468339480262,False,24Q4
CCR1,0.365330321852061,0.09454533485004028,22,0.7841149618137859,not significant,-0.07094438612543971,False,24Q4
ACVR1,0.35177865612648224,0.10838884297068951,22,0.7841149618137859,not significant,-0.15224141243129133,False,24Q4
BMPR1A,0.347261434217956,0.11331636602987338,22,0.7841149618137859,not significant,-0.3977909945176083,False,24Q4
PLXNA2,-0.3427442123094297,0.11840466287505191,22,0.7841149618137859,not significant,-0.1757850090947381,False,24Q4
IGF1R,0.34048560135516664,0.12100987408488013,22,0.7841149618137859,not significant,-0.5695606282885618,True,24Q4
NTRK2,0.339356295878035,0.12232787806891607,22,0.7841149618137859,not significant,0.03303032507805743,False,24Q4
LRP6,-0.32241671372106157,0.14335598060289903,22,0.7841149618137859,not significant,-0.19266831395839842,False,24Q4
TNFRSF1A,0.30095990965556185,0.1735037777241618,22,0.7841149618137859,not significant,0.05770362628148199,False,24Q4
FGFR1,0.30095990965556185,0.1735037777241618,22,0.7841149618137859,not significant,-0.734649367056232,True,24Q4
NTRK3,0.29757199322416716,0.17863505141387867,22,0.7841149618137859,not significant,-0.034341444138037504,False,24Q4
F2R,0.2862789384528515,0.19648801204618052,22,0.7841149618137859,not significant,-0.20970894288674846,False,24Q4
FZD4,0.2862789384528515,0.19648801204618052,22,0.7841149618137859,not significant,0.09548222759347555,False,24Q4
TGFBR1,-0.2806324110671937,0.20585133458672225,22,0.7841149618137859,not significant,-0.20355149238718181,False,24Q4
CCR5,0.27950310559006214,0.20775926035559855,22,0.7841149618137859,not significant,-0.024601930948827018,False,24Q4
FGFR2,0.27611518915866745,0.2135538738968804,22,0.7841149618137859,not significant,-0.1224524605300353,False,24Q4
PLXNA1,-0.2749858836815359,0.21550907797170601,22,0.7841149618137859,not significant,-0.04592274929360352,False,24Q4
SORT1,-0.2648221343873518,0.23364124157867944,22,0.7841149618137859,not significant,-0.2780984538976099,False,24Q4
LRP1,-0.2648221343873518,0.23364124157867944,22,0.7841149618137859,not significant,-0.2486891085960647,False,24Q4
ACVR2A,-0.2648221343873518,0.23364124157867944,22,0.7841149618137859,not significant,-0.14495711546543572,False,24Q4
PARD3,-0.2614342179559571,0.23990040725366882,22,0.7841149618137859,not significant,-0.4513957691832458,False,24Q4
AGTR1,0.2603049124788256,0.24201079068326728,22,0.7841149618137859,not significant,-0.12427989139256844,False,24Q4
TNFRSF1B,-0.25127046866177305,0.25932693147246744,22,0.8079031326642254,not significant,-0.043814527331842656,False,24Q4
FZD5,-0.23884810841332585,0.2843972498041488,22,0.8531917494124465,not significant,-0.31654675249030684,False,24Q4
NRP1,-0.22868435911914178,0.30599593936021574,22,0.8852025388634813,not significant,-0.03548673783111962,False,24Q4
FGFR3,0.21061547148503673,0.3467960161098381,22,0.9081017460661241,not significant,-0.028649530297541824,False,24Q4
ACKR1,-0.20722755505364204,0.35478551222580307,22,0.9081017460661241,not significant,-0.012286384047512129,False,24Q4
BMPR2,0.20609824957651046,0.35747230059756063,22,0.9081017460661241,not significant,-0.22762113818961913,False,24Q4
LRP5,-0.19141727837380013,0.39346511711766696,22,0.9081017460661241,not significant,-0.2533296904085603,False,24Q4
TGFBR2,-0.17673630717108982,0.4313978321487533,22,0.9081017460661241,not significant,-0.07161450150721056,False,24Q4
EGFR,0.17673630717108982,0.4313978321487533,22,0.9081017460661241,not significant,-0.7018783517614212,True,24Q4
F2RL2,-0.16996047430830044,0.449541664364542,22,0.9081017460661241,not significant,0.04202730050747738,False,24Q4
ERBB3,-0.16996047430830044,0.449541664364542,22,0.9081017460661241,not significant,-0.4632332302329604,False,24Q4
SDC3,0.16657255787690575,0.4587608870467331,22,0.9081017460661241,not significant,-0.2080514803127956,False,24Q4
CX3CR1,0.1609260304912479,0.4743408871688147,22,0.9081017460661241,not significant,-0.005849831894750762,False,24Q4
SDC1,0.1552795031055901,0.49018468978030716,22,0.9081017460661241,not significant,-0.19010869485224546,False,24Q4
AXL,0.1552795031055901,0.49018468978030716,22,0.9081017460661241,not significant,-0.07908407874506837,False,24Q4
HAVCR2,0.15415019762845852,0.493384628947119,22,0.9081017460661241,not significant,0.03525329799551119,False,24Q4
ACVR2B,0.1485036702428007,0.5095377030444939,22,0.9081017460661241,not significant,-0.1953271446859451,False,24Q4
FZD8,-0.14624505928853757,0.5160696210616289,22,0.9081017460661241,not significant,-0.09064364071346806,False,24Q4
CD44,0.14285714285714288,0.5259420073570242,22,0.9081017460661241,not significant,-0.16196793058150677,False,24Q4
ITGA4,-0.13833992094861663,0.5392421274426352,22,0.9081017460661241,not significant,-0.17835662342602776,False,24Q4
IL17RB,-0.13721061547148505,0.5425912609634094,22,0.9081017460661241,not significant,-0.1398970585693115,False,24Q4
ERBB2,0.13495200451722192,0.5493180753626807,22,0.9081017460661241,not significant,-0.6433894490273093,True,24Q4
SDC2,0.1259175607001694,0.5765977724368204,22,0.9081017460661241,not significant,-0.056493994470802285,False,24Q4
ERBB4,0.12140033879164315,0.5904546067875796,22,0.9081017460661241,not significant,-0.10143816017412802,False,24Q4
FZD1,-0.11801242236024848,0.600939011455951,22,0.9081017460661241,not significant,0.005093365175016318,False,24Q4
TYRO3,0.11123658949745907,0.622136487426624,22,0.9081017460661241,not significant,-0.33812246807132806,False,24Q4
FGFR4,0.1101072840203275,0.6256982903977766,22,0.9081017460661241,not significant,-0.10300346425055341,False,24Q4
ITGA6,-0.10559006211180126,0.6400256218947228,22,0.9081017460661241,not significant,-0.18123038662245256,False,24Q4
PLXNA3,-0.10333145115753813,0.6472364124252029,22,0.9081017460661241,not significant,-0.07425616231531558,False,24Q4
