gene,lineage,mean_gene_effect,median_gene_effect,n_lines,n_dependent_lines,gene_class,tcga_types_mapped
ACKR1,Bowel,-0.012286384047512129,-0.0169902187389202,63,0,floor_passing_receptor,COAD|READ
ACKR1,Lymphoid,-0.0004867683821370337,0.0068947759786556,93,0,floor_passing_receptor,
ACKR1,Breast,0.0011387242063372873,0.0215642042935155,53,0,floor_passing_receptor,BRCA
ACKR1,Pancreas,0.002495185801762265,0.0109349496705797,47,0,floor_passing_receptor,PAAD
ACKR1,Ovary/Fallopian Tube,0.004261724115530403,0.0201479078689829,59,0,floor_passing_receptor,OV
ACKR1,Cervix,0.007765416744149471,0.00795463485144415,18,0,floor_passing_receptor,CESC
ACKR1,Lung,0.00817417259370342,0.0106376658925509,126,0,floor_passing_receptor,LUAD|LUSC
ACKR1,Myeloid,0.011956223764014265,0.027711985234346752,42,0,floor_passing_receptor,
ACKR1,Skin,0.01288217129484037,-0.00886158979540325,74,0,floor_passing_receptor,SKCM
ACKR1,Thyroid,0.013971778134373987,0.0272960986393746,11,0,floor_passing_receptor,THCA
ACKR1,Prostate,0.017150807985616898,0.019325696688463602,10,0,floor_passing_receptor,PRAD
ACKR1,Kidney,0.02345928740625852,0.01703482081089935,34,0,floor_passing_receptor,KIRC|KIRP|KICH
ACKR1,Pleura,0.02538306132258695,-0.0006735413747729,21,0,floor_passing_receptor,MESO
ACKR1,Eye,0.027049877745397067,0.0355635044915863,15,0,floor_passing_receptor,UVM
ACKR1,Esophagus/Stomach,0.02813878917792192,0.0403578694612675,69,0,floor_passing_receptor,ESCA|STAD
ACKR1,Head and Neck,0.03595985678304383,0.0380533952992335,77,0,floor_passing_receptor,HNSC
ACKR1,Bone,0.03734633832180612,0.027013884545873952,46,0,floor_passing_receptor,
ACKR1,Biliary Tract,0.03948540531178424,0.0643621515007304,35,0,floor_passing_receptor,CHOL
ACKR1,Peripheral Nervous System,0.04222426339788607,0.034653527071541845,44,0,floor_passing_receptor,PCPG
ACKR1,CNS/Brain,0.04438331634953647,0.05215546957274135,90,0,floor_passing_receptor,GBM|LGG
ACKR1,Soft Tissue,0.04932860540565745,0.0554443318934053,45,0,floor_passing_receptor,SARC
ACKR1,Uterus,0.05152147780866393,0.0153350935603229,34,0,floor_passing_receptor,UCEC|UCS
ACKR1,Liver,0.059263466683741106,0.03617362079442395,24,0,floor_passing_receptor,LIHC
ACKR1,Testis,0.06391260751025585,0.0739053551945719,5,0,floor_passing_receptor,TGCT
ACKR1,Bladder/Urinary Tract,0.06710375327321327,0.055677576038320103,34,0,floor_passing_receptor,BLCA
ACVR1,Eye,-0.15224141243129133,-0.1448803322756107,15,0,floor_passing_receptor,UVM
ACVR1,Bowel,-0.09130414768951854,-0.0820177267628093,63,1,floor_passing_receptor,COAD|READ
ACVR1,Bone,-0.07496266390594931,-0.0532007711199647,46,0,floor_passing_receptor,
ACVR1,Thyroid,-0.06458524081607166,-0.0564966863025365,11,0,floor_passing_receptor,THCA
ACVR1,Pancreas,-0.06023105574312467,-0.063756978857657,47,0,floor_passing_receptor,PAAD
ACVR1,Liver,-0.056471053631922376,-0.0654057009123309,24,0,floor_passing_receptor,LIHC
ACVR1,Biliary Tract,-0.05639869040134099,-0.0475746390134939,35,0,floor_passing_receptor,CHOL
ACVR1,Ovary/Fallopian Tube,-0.05117244799051085,-0.0488388144845959,59,0,floor_passing_receptor,OV
ACVR1,Skin,-0.04667998006957276,-0.030816494061876,74,0,floor_passing_receptor,SKCM
ACVR1,Cervix,-0.044646527615470444,-0.0521646296631017,18,0,floor_passing_receptor,CESC
ACVR1,Peripheral Nervous System,-0.041839759867759285,-0.0437966939526301,44,0,floor_passing_receptor,PCPG
ACVR1,Myeloid,-0.04135268422219683,-0.050927074065736655,42,0,floor_passing_receptor,
ACVR1,CNS/Brain,-0.04102314052249726,-0.03591901500338985,90,1,floor_passing_receptor,GBM|LGG
ACVR1,Soft Tissue,-0.03923918900984299,-0.0373109368759035,45,0,floor_passing_receptor,SARC
ACVR1,Breast,-0.03813466462702308,-0.0490131920366482,53,0,floor_passing_receptor,BRCA
ACVR1,Esophagus/Stomach,-0.031222343646420923,-0.0290696786771118,69,0,floor_passing_receptor,ESCA|STAD
ACVR1,Lung,-0.028398282999438237,-0.029338008374789448,126,0,floor_passing_receptor,LUAD|LUSC
ACVR1,Bladder/Urinary Tract,-0.027643908665742394,-0.0432731372889929,34,0,floor_passing_receptor,BLCA
ACVR1,Uterus,-0.02405837586065433,-0.02121927770809985,34,0,floor_passing_receptor,UCEC|UCS
ACVR1,Pleura,-0.021540952935448388,-0.0408893609110485,21,0,floor_passing_receptor,MESO
ACVR1,Lymphoid,-0.01694253784127904,-0.0272903159318434,93,0,floor_passing_receptor,
ACVR1,Head and Neck,-0.006646954358742601,-0.0181176766773938,77,0,floor_passing_receptor,HNSC
ACVR1,Prostate,-7.581126855860931e-05,-0.07407302372791144,10,0,floor_passing_receptor,PRAD
ACVR1,Kidney,0.010719468682433978,0.0033261035267525,34,0,floor_passing_receptor,KIRC|KIRP|KICH
ACVR1,Testis,0.04645546209621944,0.0398552360768763,5,0,floor_passing_receptor,TGCT
ACVR1B,Thyroid,-0.2609159809386502,-0.1254645868274082,11,3,floor_passing_receptor,THCA
ACVR1B,Testis,-0.17322374983699718,-0.078217382605413,5,0,floor_passing_receptor,TGCT
ACVR1B,Soft Tissue,-0.1593248802220216,-0.1041954429856202,45,4,floor_passing_receptor,SARC
ACVR1B,Pancreas,-0.14357399337345805,-0.1352951600343698,47,1,floor_passing_receptor,PAAD
ACVR1B,Lung,-0.1407409488850556,-0.12667653368666815,126,0,floor_passing_receptor,LUAD|LUSC
ACVR1B,Ovary/Fallopian Tube,-0.13413544988986786,-0.1373216533246528,59,1,floor_passing_receptor,OV
ACVR1B,Cervix,-0.13220171614132198,-0.1491530776350142,18,0,floor_passing_receptor,CESC
ACVR1B,Pleura,-0.12707482127219585,-0.1092535209163521,21,0,floor_passing_receptor,MESO
ACVR1B,Esophagus/Stomach,-0.12090741186098053,-0.1159745737113868,69,1,floor_passing_receptor,ESCA|STAD
ACVR1B,Bone,-0.11263903016832467,-0.10329456873213574,46,0,floor_passing_receptor,
ACVR1B,CNS/Brain,-0.11160671998600549,-0.10711960775997356,90,1,floor_passing_receptor,GBM|LGG
ACVR1B,Peripheral Nervous System,-0.11031704752381435,-0.1057277234284624,44,1,floor_passing_receptor,PCPG
ACVR1B,Head and Neck,-0.10684571296851884,-0.1256038885426318,77,0,floor_passing_receptor,HNSC
ACVR1B,Bowel,-0.1060516012238029,-0.1025177782405228,63,0,floor_passing_receptor,COAD|READ
ACVR1B,Uterus,-0.10404920433115238,-0.10237652567834654,34,0,floor_passing_receptor,UCEC|UCS
ACVR1B,Biliary Tract,-0.10325077843362487,-0.0836947186864179,35,0,floor_passing_receptor,CHOL
ACVR1B,Myeloid,-0.10029074600430221,-0.0917517849601814,42,0,floor_passing_receptor,
ACVR1B,Breast,-0.1001096050740286,-0.131905882755419,53,0,floor_passing_receptor,BRCA
ACVR1B,Skin,-0.09266038465416146,-0.0923398885846996,74,0,floor_passing_receptor,SKCM
ACVR1B,Bladder/Urinary Tract,-0.09076444931550881,-0.11380830448117765,34,0,floor_passing_receptor,BLCA
ACVR1B,Kidney,-0.0818016444504446,-0.07304098580928445,34,2,floor_passing_receptor,KIRC|KIRP|KICH
ACVR1B,Lymphoid,-0.07258236171047787,-0.0690305378978641,93,0,floor_passing_receptor,
ACVR1B,Prostate,-0.06692728812953938,-0.0581986752205809,10,0,floor_passing_receptor,PRAD
ACVR1B,Liver,-0.06043526737845858,-0.0723482559346865,24,0,floor_passing_receptor,LIHC
ACVR1B,Eye,-0.05571349194826471,-0.0775507470412193,15,0,floor_passing_receptor,UVM
ACVR2A,Thyroid,-0.14495711546543572,-0.1059472082704181,11,0,floor_passing_receptor,THCA
ACVR2A,Pancreas,-0.09713069804469932,-0.0552520781512556,47,3,floor_passing_receptor,PAAD
ACVR2A,Myeloid,-0.08677589964782075,-0.07242522925621034,42,0,floor_passing_receptor,
ACVR2A,Peripheral Nervous System,-0.084797433073173,-0.05804524046352465,44,1,floor_passing_receptor,PCPG
ACVR2A,Uterus,-0.07829044633460983,-0.05275400140854665,34,1,floor_passing_receptor,UCEC|UCS
ACVR2A,Soft Tissue,-0.07388883179927122,-0.0395431281406327,45,1,floor_passing_receptor,SARC
ACVR2A,Bowel,-0.07245563378502981,-0.0672741151284087,63,1,floor_passing_receptor,COAD|READ
