ligand,log2FC_GSE116250_DCM,fdr_GSE116250_DCM,induced_GSE116250_DCM,log2FC_GSE116250_ICM,fdr_GSE116250_ICM,induced_GSE116250_ICM,log2FC_GSE116250_pooled,fdr_GSE116250_pooled,induced_GSE116250_pooled,log2FC_GSE141910_DCM,fdr_GSE141910_DCM,induced_GSE141910_DCM,log2FC_GSE141910_HCM,fdr_GSE141910_HCM,induced_GSE141910_HCM,log2FC_GSE141910_pooled,fdr_GSE141910_pooled,induced_GSE141910_pooled,etiology_specific_GSE116250,etiology_specific_GSE141910,etiology_specific_any,cardiac_enriched_rank1,heart_best_median_tpm,abundant_ge5tpm,would_pass_NPPA_NPPB_criteria,changes_conclusion,n_DCM_GSE116250,n_ICM_GSE116250,n_ctrl_GSE116250,n_DCM_GSE141910,n_HCM_GSE141910,n_ctrl_GSE141910,untested_note,power_caveat
CRITERION_PREREGISTERED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An etiology-specific ligand WOULD HAVE CHANGED the conclusion iff it is secreted, |log2FC|>=1 with FDR<0.05 in one etiology and not the other (FDR>=0.05 or |log2FC|<1), AND passes cardiac-enrichment (GTEx heart rank 1) AND abundance (>=0.005 x GAPDH) - the same two criteria NPPA and NPPB passed.",
NPPA,4.0278,2.482890489426517e-05,True,3.5646,0.0006346388325577001,True,3.9074,1.3136729179459598e-05,True,2.1945,7.064621279247351e-25,True,2.2392,7.685003792436224e-09,True,2.201,2.5606400212614065e-27,True,False,False,False,True,28754.0,True,True,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
NPPB,3.7696,3.5589125771150514e-05,True,4.5349,5.454532725208661e-06,True,3.9686,1.1143509022923584e-06,True,2.0866,1.5859940426880451e-15,True,2.1048,0.000194011696768348,True,2.0893,3.0336255964503164e-17,True,False,False,False,True,1639.56,True,True,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
AGT,0.1798,0.11061349732986638,False,0.3309,0.010887432101048136,False,0.2191,0.041723526002956,False,0.1385,0.04960931964880563,False,0.1077,0.5091382563297042,False,0.1341,0.04671699309600891,False,False,False,False,False,138.197,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GDF6,0.658,0.0010594475363220066,False,,,False,0.6002,0.001540819695362566,False,1.978,1.490262968865462e-41,True,2.0503,1.7560876263203748e-13,True,1.9885,1.7679144444743967e-46,True,False,False,False,False,2.4632,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
POSTN,1.3727,0.012404083345992566,True,0.9148,0.24495547231826378,False,1.2536,0.02099281140338723,True,0.731,2.419960288457302e-06,False,1.5199,5.265268873498317e-08,True,0.8449,1.013608386974592e-08,False,True,True,True,False,31.294,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
FGF1,0.3598,0.019465921972721983,False,0.301,0.06795590041433199,False,0.3445,0.017311985374724486,False,0.6542,1.1325201850614099e-24,False,0.6884,1.6380956925081152e-07,False,0.6591,8.195807746864935e-28,False,False,False,False,False,9.5051,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
PROS1,0.9481,7.964026142682367e-05,False,0.6729,0.03139214845856809,False,0.8765,0.00022528877195505966,False,0.2767,0.0010516072979159612,False,0.5798,0.0006439136463208907,False,0.3204,5.7914919353528515e-05,False,False,False,False,False,41.4488,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
PDGFD,0.575,0.001506279002801748,False,0.5839,0.019597981826694116,False,0.5773,0.0015267231953540342,False,0.2967,0.00042605980329529764,False,0.6085,5.571102141826066e-05,False,0.3417,2.2456503151806335e-05,False,False,False,False,False,15.1553,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
IGF2,0.7419,0.0020551150649107306,False,0.8833,0.0009573968747941406,False,0.7786,0.00029638182473500573,False,0.461,1.1126367912626441e-10,False,0.3179,0.0318731494508781,False,0.4403,5.851284659022599e-11,False,False,False,False,False,29.7408,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
INHBA,0.7422,0.0003447312351341362,False,0.7738,0.0007324275935355215,False,0.7504,0.00015638368228197664,False,0.4098,0.0015649835816851248,False,1.1596,1.5156903347839459e-05,True,0.518,2.8100960866887262e-05,False,False,True,True,False,1.8747,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
VEGFB,0.2265,0.015040421842932599,False,0.3791,0.001520151266460173,False,0.2662,0.0022232116299231754,False,0.4133,4.991781868677098e-06,False,0.3915,0.03479025441624749,False,0.4102,2.0344151384799247e-06,False,False,False,False,False,191.939,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
TNF,0.2307,0.057996909713169724,False,0.3808,0.013134105356801411,False,0.2697,0.02621030504870938,False,0.7109,1.4021467668036408e-08,False,0.9681,3.977366184316078e-07,False,0.748,3.4877306830397855e-10,False,False,False,False,False,0.4325,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
IGF1,0.6774,0.0030359940636038047,False,0.7781,0.017579695936342708,False,0.7036,0.0019150165507268997,False,0.2366,0.04764586679734719,False,0.3445,0.17030178265432033,False,0.2522,0.024895827668390248,False,False,False,False,False,4.8623,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
HBEGF,0.5459,0.05049447381399845,False,1.0037,0.0004903704918323241,True,0.6649,0.01283071488227714,False,0.4719,1.0066199110247508e-09,False,0.5569,6.843243517184334e-05,False,0.4841,4.624929122851489e-11,False,True,False,True,False,23.7109,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
TGFB3,0.3772,0.0329174955816821,False,0.8499,0.004938762783885079,False,0.5001,0.010934337507303124,False,0.2847,3.893051102830092e-09,False,0.4571,1.3210711997297707e-06,False,0.3096,3.522525095834432e-11,False,False,False,False,False,21.2575,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
CTF1,1.0843,1.3741735999314193e-11,True,1.2897,1.1831349542666609e-08,True,1.1377,8.138689211741415e-15,True,0.9678,1.3286846068289161e-27,False,0.9179,5.54183965299098e-07,False,0.9606,7.598510418840697e-30,False,False,False,False,False,12.0586,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
PTN,1.4566,7.687341578577809e-08,True,1.6323,8.656166331014145e-05,True,1.5023,4.613805529857027e-08,True,1.5033,2.1441690905753912e-54,True,1.5986,2.5936339268268615e-18,True,1.5171,6.956545168679155e-59,True,False,False,False,False,43.6454,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
CXCL9,0.7609,0.03246046787175078,False,1.3481,0.054221780716078076,False,0.9136,0.037450191091907045,False,1.7919,3.605629222913553e-18,True,1.5793,0.00011812697873487093,True,1.7612,8.36961019258598e-20,True,False,False,False,False,0.7922,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
CCL3,0.4883,0.07876665991899424,False,1.583,0.0073420185402982676,True,0.773,0.04647556461426326,False,1.2404,4.893353327836787e-11,True,1.1704,0.0006522760455593839,True,1.2303,4.4185935191183525e-12,True,True,False,True,False,1.8335,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GAS6,0.2239,0.01251084709269211,False,0.3091,0.023373978535814903,False,0.246,0.003917263724350901,False,0.2349,0.005084557038642238,False,0.2144,0.2449275376991335,False,0.2319,0.003419600383004211,False,False,False,False,False,159.996,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
IL17B,,,False,,,False,0.2534,0.024743856547162147,False,0.4945,0.0017005907357952586,False,0.4498,0.2112366546592425,False,0.488,0.0011504003865828076,False,False,False,False,False,0.5716,False,False,False,37,13,14,166,28,166,filtered out (RPKM<1 filter) in GSE116250,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GDF10,0.9723,1.4734066546961695e-05,False,0.9666,0.0009890615559715338,False,0.9708,2.0477466249979642e-05,False,1.1778,1.5201718592011816e-19,True,1.7378,1.732493939341639e-10,True,1.2586,9.125890220181421e-22,True,False,False,False,False,3.205,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
BMP6,0.6659,0.003096514251217408,False,0.485,0.08394070230775619,False,0.6189,0.005143033511688148,False,0.5172,5.396302001933986e-10,False,0.1859,0.32185544985475917,False,0.4694,7.491413693648246e-09,False,False,False,False,False,4.0577,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
NTF3,0.4981,2.524832083683005e-05,False,0.518,0.014456353175778102,False,0.5033,0.00011672541299905148,False,0.9956,4.825083267955115e-35,False,1.0259,2.2130737971049265e-11,True,1.0,3.695480877270106e-38,False,False,True,True,False,1.0641,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
LGALS9,0.4708,0.04239907206005163,False,1.0296,0.0016070597196695012,True,0.6161,0.008057981374643152,False,0.4789,2.723374328263002e-06,False,0.523,0.016521086056702623,False,0.4852,7.63958121466942e-07,False,True,False,True,False,7.3161,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
SEMA3B,0.4973,0.00022488721911072441,False,0.7062,0.00022661316142761503,False,0.5516,3.42632013916309e-05,False,0.547,9.850470157570113e-09,False,0.4689,0.01646484154479184,False,0.5357,3.4455217194991055e-09,False,False,False,False,False,33.0118,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
WNT9A,2.7502,5.4400944061931145e-08,True,2.5536,2.051894074856324e-05,True,2.6991,1.1894432532919301e-08,True,2.0112,6.250766069398906e-33,True,1.5655,2.9668539985747696e-06,True,1.9469,6.077900035577121e-34,True,False,False,False,False,2.0217,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GRN,0.215,0.10576544425799532,False,0.4739,0.005606016931971133,False,0.2823,0.022695598388948766,False,0.3025,0.004930900730659851,False,0.2763,0.23667873533904377,False,0.2988,0.0034891946966709793,False,False,False,False,False,84.972,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
CCL5,0.9064,0.00045210124719722975,False,1.3018,0.005514319171301438,True,1.0092,0.0007260841885184544,True,2.2399,4.3270848256460585e-47,True,1.7813,4.9082277839349314e-11,True,2.1737,3.656609510875782e-49,True,True,False,True,False,2.925,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GZMA,0.4738,0.03230650248734659,False,0.7464,0.03822006955229511,False,0.5446,0.028469027302489836,False,1.8404,9.799904048304821e-39,True,1.3911,1.306099810818896e-07,True,1.7755,5.4636056463516264e-40,True,False,False,False,False,0.9759,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
CCL4,0.4545,0.034111400404346015,False,1.4608,0.009845314383151144,True,0.7162,0.0424377126052078,False,1.1849,5.442429237574096e-17,True,0.6465,0.006203009973551955,False,1.1072,9.556317932409482e-17,True,True,True,True,False,2.2687,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
BMP4,1.0311,1.318605444733755e-07,True,0.9551,0.0010025098374891429,False,1.0113,2.5712851036073764e-07,True,0.8291,3.116903724302199e-28,False,0.6416,2.0698425798791903e-05,False,0.8021,6.230841538310373e-28,False,True,False,True,False,6.4865,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
TNFSF12,0.3408,0.0012196673592717625,False,0.5186,0.0005335401787942175,False,0.387,0.0002688936847631301,False,0.5079,3.339683779832958e-08,False,0.422,0.026497785206169272,False,0.4955,2.0684397639414358e-08,False,False,False,False,False,36.4719,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
MDK,1.4286,1.0019562182457614e-08,True,1.7661,5.125240101957818e-07,True,1.5164,6.523341646610516e-10,True,2.0066,6.44724876892919e-40,True,2.1108,3.280956202451735e-14,True,2.0217,5.061700876410734e-44,True,False,False,False,False,10.1845,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
TGFB2,1.3633,5.745141303833355e-05,True,1.264,0.00041750297174447725,True,1.3375,1.255809785488107e-05,True,1.3231,5.2602129721424764e-23,True,1.7345,5.0905327514210836e-11,True,1.3825,3.265521362990643e-27,True,False,False,False,False,1.9112,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
WNT10B,,,False,,,False,0.2566,0.015599259270363474,False,1.493,3.1358182228550917e-24,True,0.7277,0.015070468568078218,False,1.3826,1.0716589595268883e-22,True,False,True,True,False,0.8306,False,False,False,37,13,14,166,28,166,filtered out (RPKM<1 filter) in GSE116250,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
NRG1,0.31,0.04161226874827505,False,,,False,0.2948,0.03895042916005401,False,1.406,2.6139583717292864e-17,True,1.7692,6.250438878759067e-09,True,1.4584,1.132409942497162e-19,True,False,False,False,False,0.4422,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
CX3CL1,0.9445,2.3046755738285432e-07,False,1.3783,1.622817294825381e-05,True,1.0573,7.678208507514824e-08,True,0.9153,1.06618780878092e-26,False,0.8098,5.789425881479938e-11,False,0.9001,4.588059004105003e-29,False,True,False,True,False,9.4862,True,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
IL16,0.5458,0.0011739223268627662,False,0.7036,0.01604887881683634,False,0.5868,0.0020143297894080234,False,0.322,3.581848953264485e-08,False,-0.0209,0.895635933374562,False,0.2725,2.372654685747762e-06,False,False,False,False,False,2.3026,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
MSTN,0.3789,0.025944613746680327,False,,,False,0.3501,0.024137363885249317,False,0.8152,3.837413110328037e-08,False,2.0817,1.5846619167652771e-18,True,0.998,1.8561684684814497e-11,False,False,True,True,False,0.2638,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GDF9,0.229,0.01410895282282666,False,,,False,0.2022,0.025741825244617936,False,0.7866,2.8104941424816756e-07,False,0.5206,0.1350656227753925,False,0.7482,2.391117291140844e-07,False,False,False,False,False,0.1719,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
GDF15,0.567,0.01668290264279053,False,0.923,0.007554868454573635,False,0.6596,0.00897449359257347,False,1.0079,3.674753486293793e-11,True,1.6205,4.0879452918953856e-07,True,1.0964,1.880056480809634e-13,True,False,False,False,False,0.7614,False,False,False,37,13,14,166,28,166,,"small strata: ICM n=13 and HCM n=28; a null in these is low power, not absence"
