interaction,max_capacity,floor,passes,floor_fraction_of_GAPDH
AGT_MAS1,0.6232,345.6725,False,0.005
PENK_OPRD1,3.0966,345.6725,False,0.005
UCN_CRHR2,3.3319,345.6725,False,0.005
CCL24_CCR3,5.6045,345.6725,False,0.005
CCL5_CCR3,5.6045,345.6725,False,0.005
PENK_OPRM1,34.3852,345.6725,False,0.005
CCL5_CCR4,37.4532,345.6725,False,0.005
FLT3L_FLT3,44.8425,345.6725,False,0.005
UCN_CRHR1,50.6715,345.6725,False,0.005
IL12B_IL12RB1_IL12RB2,63.0828,345.6725,False,0.005
IL33_IL1RL1_IL1RAP,80.2834,345.6725,False,0.005
PENK_OPRK1,94.8431,345.6725,False,0.005
CCL21_ACKR4,111.1607,345.6725,False,0.005
TAC4_TACR1,111.2615,345.6725,False,0.005
MDK_ALK,114.5385,345.6725,False,0.005
PTN_ALK,114.5385,345.6725,False,0.005
TGFB2_ACVR1C_TGFBR2,123.9693,345.6725,False,0.005
TGFB3_ACVR1C_TGFBR2,123.9693,345.6725,False,0.005
INHB_ACVR1C_ACVR2B,123.9693,345.6725,False,0.005
INHBABB_ACVR1C_ACVR2A,123.9693,345.6725,False,0.005
CXCL16_CXCR6,174.9935,345.6725,False,0.005
CXCL9_CXCR3,181.8905,345.6725,False,0.005
CCL21_CCR7,187.422,345.6725,False,0.005
PENK_OPRL1,205.412,345.6725,False,0.005
CCL3_ACKR2,228.82,345.6725,False,0.005
CCL4_ACKR2,228.82,345.6725,False,0.005
CCL5_ACKR2,228.82,345.6725,False,0.005
CCL24_ACKR2,228.82,345.6725,False,0.005
CCL3_CCR5,362.9965,345.6725,True,0.005
CCL4_CCR5,362.9965,345.6725,True,0.005
CCL5_CCR5,362.9965,345.6725,True,0.005
CCL3_CCR1,388.0285,345.6725,True,0.005
CCL5_CCR1,388.0285,345.6725,True,0.005
WNT9A_FZD3_LRP6,418.0935,345.6725,True,0.005
WNT10B_FZD3_LRP6,418.0935,345.6725,True,0.005
WNT10B_FZD3_LRP5,418.0935,345.6725,True,0.005
WNT9A_FZD3_LRP5,418.0935,345.6725,True,0.005
WNT9A_FZD10_LRP6,424.4194,345.6725,True,0.005
WNT10B_FZD10_LRP6,424.4194,345.6725,True,0.005
