n_permutations,seed,background_pool,setting,floor_kind,floor_param,floor_value,n_interactions_scored,n_interactions_excluded,null_rho_mean,frac_null_rho_above_0_5,n_types_beating_null,types_beating_null,receptor_specific_rho_lt_0_30,top_ranked_type,rho_vs_published_ranking,cardiac_axes_still_scored,central_negative_holds,pass_set_symmetric_diff_vs_published,in_plateau_window_0.0025_to_0.01
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",CRITERION_PREREGISTERED,criterion,,,,,,,,"0.005 is ON A PLATEAU iff across the 4-fold window 0.0025-0.01: (a) null rho_mean stays <0.20, (b) count of types with p<0.05 stays within +/-1 of 4, (c) pass-set membership changes by <=1 member. | A setting is receptor-specific iff null rho_mean < 0.30 (skill assertion threshold).",,,,,,,
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",GAPDH_frac_0.001,housekeeping_fraction_GAPDH,0.001,69.1345,178.0,10.0,0.2947,0.15,3.0,KIRC;PAAD;UCS,1.0,UCS,0.9924,1.0,yes,1.0,0.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",GAPDH_frac_0.0025,housekeeping_fraction_GAPDH,0.0025,172.8363,168.0,20.0,0.2011,0.0733,4.0,BRCA;KIRC;PAAD;UCS,1.0,UCS,0.9924,1.0,yes,0.0,1.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",GAPDH_frac_0.005,housekeeping_fraction_GAPDH,0.005,345.6725,160.0,28.0,0.1131,0.0267,4.0,BRCA;KIRC;PAAD;UCS,1.0,UCS,1.0,1.0,yes,0.0,1.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",GAPDH_frac_0.01,housekeeping_fraction_GAPDH,0.01,691.345,114.0,74.0,-0.0205,0.01,5.0,BRCA;KIRC;OV;THCA;UCS,1.0,THCA,0.8652,1.0,yes,3.0,1.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",GAPDH_frac_0.025,housekeeping_fraction_GAPDH,0.025,1728.3625,74.0,114.0,-0.1611,0.0,6.0,KIRC;KIRP;LUAD;MESO;PAAD;THCA,1.0,THCA,0.5711,1.0,yes,6.0,0.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",GAPDH_frac_0.05,housekeeping_fraction_GAPDH,0.05,3456.725,37.0,151.0,-0.1835,0.0,5.0,CHOL;KIRC;LUAD;PAAD;THCA,1.0,HNSC,-0.0501,0.0,untestable_receptor_excluded,5.0,0.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",percentile_25_expressed,percentile_of_expressed_genes,25.0,9.1545,183.0,5.0,0.3378,0.1733,3.0,KIRC;PAAD;UCS,0.0,UCS,0.9729,1.0,yes,1.0,0.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",percentile_50_expressed,percentile_of_expressed_genes,50.0,109.2275,176.0,12.0,0.2847,0.13,4.0,BRCA;KIRC;PAAD;UCS,1.0,UCS,0.9924,1.0,yes,0.0,0.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",percentile_75_expressed,percentile_of_expressed_genes,75.0,669.0222,124.0,64.0,0.0039,0.01,5.0,BRCA;KIRC;OV;THCA;UCS,1.0,UCS,0.9239,1.0,yes,3.0,0.0
300,20260727,"tcga_background_genes.json stratified+uniform, 396 genes",no_floor,none,0.0,0.0,188.0,0.0,0.3674,0.22,3.0,KIRC;PAAD;UCS,0.0,UCS,0.9657,1.0,yes,1.0,0.0
