gene,gencodeId,tissue,median_tpm
NPPA,ENSG00000175206.10,Adipose_Subcutaneous,3.16234
NPPA,ENSG00000175206.10,Adipose_Visceral_Omentum,3.2261599999999997
NPPA,ENSG00000175206.10,Adrenal_Gland,1.8096700000000001
NPPA,ENSG00000175206.10,Artery_Aorta,3.0533900000000003
NPPA,ENSG00000175206.10,Artery_Coronary,3.87549
NPPA,ENSG00000175206.10,Artery_Tibial,3.06324
NPPA,ENSG00000175206.10,Bladder,1.34215
NPPA,ENSG00000175206.10,Brain_Amygdala,2.71046
NPPA,ENSG00000175206.10,Brain_Anterior_cingulate_cortex_BA24,4.46617
NPPA,ENSG00000175206.10,Brain_Caudate_basal_ganglia,1.30805
NPPA,ENSG00000175206.10,Brain_Cerebellar_Hemisphere,1.90481
NPPA,ENSG00000175206.10,Brain_Cerebellum,2.46287
NPPA,ENSG00000175206.10,Brain_Cortex,5.81626
NPPA,ENSG00000175206.10,Brain_Frontal_Cortex_BA9,5.01574
NPPA,ENSG00000175206.10,Brain_Hippocampus,2.5184599999999997
NPPA,ENSG00000175206.10,Brain_Hypothalamus,1.8979700000000002
NPPA,ENSG00000175206.10,Brain_Nucleus_accumbens_basal_ganglia,1.35135
NPPA,ENSG00000175206.10,Brain_Putamen_basal_ganglia,0.8994139999999999
NPPA,ENSG00000175206.10,Brain_Spinal_cord_cervical_c-1,1.96512
NPPA,ENSG00000175206.10,Brain_Substantia_nigra,1.4724700000000002
NPPA,ENSG00000175206.10,Breast_Mammary_Tissue,3.19861
NPPA,ENSG00000175206.10,Cells_Cultured_fibroblasts,0.7265729999999999
NPPA,ENSG00000175206.10,Cells_EBV-transformed_lymphocytes,2.2944400000000003
NPPA,ENSG00000175206.10,Cervix_Ectocervix,1.82339
NPPA,ENSG00000175206.10,Cervix_Endocervix,2.2711900000000003
NPPA,ENSG00000175206.10,Colon_Sigmoid,3.68698
NPPA,ENSG00000175206.10,Colon_Transverse,2.18633
NPPA,ENSG00000175206.10,Esophagus_Gastroesophageal_Junction,3.47591
NPPA,ENSG00000175206.10,Esophagus_Mucosa,1.53579
NPPA,ENSG00000175206.10,Esophagus_Muscularis,3.5949199999999997
NPPA,ENSG00000175206.10,Fallopian_Tube,2.0292
NPPA,ENSG00000175206.10,Heart_Atrial_Appendage,28754.0
NPPA,ENSG00000175206.10,Heart_Left_Ventricle,35.8109
NPPA,ENSG00000175206.10,Kidney_Cortex,1.1989100000000001
NPPA,ENSG00000175206.10,Kidney_Medulla,0.552606
NPPA,ENSG00000175206.10,Liver,1.3644
NPPA,ENSG00000175206.10,Lung,4.65875
NPPA,ENSG00000175206.10,Minor_Salivary_Gland,1.96328
NPPA,ENSG00000175206.10,Muscle_Skeletal,2.34266
NPPA,ENSG00000175206.10,Nerve_Tibial,3.96895
NPPA,ENSG00000175206.10,Ovary,2.82401
NPPA,ENSG00000175206.10,Pancreas,1.00593
NPPA,ENSG00000175206.10,Pituitary,5.93242
NPPA,ENSG00000175206.10,Prostate,5.27877
NPPA,ENSG00000175206.10,Skin_Not_Sun_Exposed_Suprapubic,3.3183
NPPA,ENSG00000175206.10,Skin_Sun_Exposed_Lower_leg,3.23948
NPPA,ENSG00000175206.10,Small_Intestine_Terminal_Ileum,2.9834
NPPA,ENSG00000175206.10,Spleen,3.63131
NPPA,ENSG00000175206.10,Stomach,1.5039799999999999
NPPA,ENSG00000175206.10,Testis,13.3073
NPPA,ENSG00000175206.10,Thyroid,3.5482699999999996
NPPA,ENSG00000175206.10,Uterus,3.28948
NPPA,ENSG00000175206.10,Vagina,3.66395
NPPA,ENSG00000175206.10,Whole_Blood,1.6892599999999998
NPPB,ENSG00000120937.8,Adipose_Subcutaneous,0.301944
NPPB,ENSG00000120937.8,Adipose_Visceral_Omentum,0.46993599999999996
NPPB,ENSG00000120937.8,Adrenal_Gland,0.158882
NPPB,ENSG00000120937.8,Artery_Aorta,0.644777
NPPB,ENSG00000120937.8,Artery_Coronary,0.726931
NPPB,ENSG00000120937.8,Artery_Tibial,0.535076
NPPB,ENSG00000120937.8,Bladder,0.0
NPPB,ENSG00000120937.8,Brain_Amygdala,0.22417399999999998
NPPB,ENSG00000120937.8,Brain_Anterior_cingulate_cortex_BA24,0.262975
NPPB,ENSG00000120937.8,Brain_Caudate_basal_ganglia,1.9586299999999999
NPPB,ENSG00000120937.8,Brain_Cerebellar_Hemisphere,0.60935
NPPB,ENSG00000120937.8,Brain_Cerebellum,0.6645260000000001
NPPB,ENSG00000120937.8,Brain_Cortex,0.364192
