gse,platform,gene,present,log2FC,fdr,direction,expected_direction,discovery_log2FC,correct
GSE5406,GPL96,NPPA,True,1.8561145153723522,3.3025257489895804e-08,up,up,3.91,True
GSE5406,GPL96,NPPB,True,-0.14177077528159204,0.8958993007517515,down,up,3.97,False
GSE5406,GPL96,MYH6,True,-1.3928819103543761,4.425860051563579e-05,down,down,-0.61,True
GSE5406,GPL96,ATP2A2,True,-0.11657379704776621,0.5348620186080038,down,down,-0.44,False
GSE1869,GPL96,NPPA,True,1.4851686069946055,0.13096750654904035,up,up,3.91,False
GSE1869,GPL96,NPPB,True,1.931115151903222,0.1556023613749425,up,up,3.97,False
GSE1869,GPL96,MYH6,True,-1.675340123139781,0.003256248109747926,down,down,-0.61,True
GSE1869,GPL96,ATP2A2,True,-0.32122444510752696,0.08521947325842123,down,down,-0.44,False
GSE57345,GPL11532,NPPA,True,1.732709206530952,1.064970359579271e-12,up,up,3.91,True
GSE57345,GPL11532,NPPB,True,0.30321755732981537,0.2654363523438386,up,up,3.97,False
GSE57345,GPL11532,MYH6,True,-1.5792762015869017,1.977435684655741e-35,down,down,-0.61,True
GSE57345,GPL11532,ATP2A2,True,-0.2385967757186016,1.4200848604929847e-10,down,down,-0.44,True
