gse,platform,technology,reference,contrast,n_failing,n_nonfailing,n_genes_tested,n_sig_fdr05,n_shared_genes,n_ref_sig_among_shared,n_sig_cohort_among_shared,n_sig_in_both,concordance_sig_in_both,rho_all_shared,p_rho_all_shared,rho_sig_in_both,p_rho_sig_in_both,log_scale_branch
GSE5406,GPL96,Affymetrix HG-U133A microarray,signature_mean_of_two_rnaseq,failing_vs_non_failing,194,16,12502,1834,9711,3217,1739,694,0.845821325648415,0.3473226428724922,2.194318455822974e-273,0.712570555105749,1.3258178896357782e-108,logged:max_le_30
GSE5406,GPL96,Affymetrix HG-U133A microarray,GSE116250_discovery_only,failing_vs_non_failing,194,16,12502,1834,9711,4395,1739,878,0.7676537585421412,0.20973161346474273,5.577594605432097e-97,0.527958272458477,3.5558180849422594e-64,logged:max_le_30
GSE5406,GPL96,Affymetrix HG-U133A microarray,GSE141910_validation_only,failing_vs_non_failing,194,16,12502,1834,9711,6664,1739,1312,0.9085365853658537,0.424193758351821,0.0,0.7793488792209793,3.1609862314219e-268,logged:max_le_30
GSE5406,GPL96,Affymetrix HG-U133A microarray,signature_mean_of_two_rnaseq,ICM_vs_non_failing,194,16,12502,1364,9711,3217,1291,539,0.8775510204081632,0.3458368502050552,6.469610847552761e-271,0.7571555782389557,2.2341597865269122e-101,logged:max_le_30
GSE5406,GPL96,Affymetrix HG-U133A microarray,signature_mean_of_two_rnaseq,NICM_vs_non_failing,194,16,12502,2101,9711,3217,1982,782,0.8312020460358056,0.33897635217299255,1.0972725338069482e-259,0.6799758339303397,3.2514886358383223e-107,logged:max_le_30
GSE1869,GPL96,Affymetrix HG-U133A microarray,signature_mean_of_two_rnaseq,failing_vs_non_failing,31,6,12502,816,9711,3217,698,261,0.6015325670498084,-0.07637955752528168,4.8156942547688887e-14,0.18664965814215617,0.0024650866571398833,logged:max_le_30
GSE1869,GPL96,Affymetrix HG-U133A microarray,GSE116250_discovery_only,failing_vs_non_failing,31,6,12502,816,9711,4395,698,351,0.5897435897435898,-0.06045549154320205,2.488074936731378e-09,0.16411061161061158,0.002038376390571903,logged:max_le_30
GSE1869,GPL96,Affymetrix HG-U133A microarray,GSE141910_validation_only,failing_vs_non_failing,31,6,12502,816,9711,6664,698,469,0.5181236673773987,-0.07520609926664973,1.1650591198007318e-13,0.14513823214998195,0.0016244092035666237,logged:max_le_30
GSE1869,GPL96,Affymetrix HG-U133A microarray,signature_mean_of_two_rnaseq,ICM_vs_non_failing,31,6,12502,964,9711,3217,778,274,0.5912408759124088,-0.011213845553524778,0.2691794185700925,0.20997250924258226,0.0004672541204938047,logged:max_le_30
GSE1869,GPL96,Affymetrix HG-U133A microarray,signature_mean_of_two_rnaseq,NICM_vs_non_failing,31,6,12502,2275,9711,3217,1817,603,0.4842454394693201,-0.0946293278726364,9.191903070714435e-21,-0.10787983253738567,0.008017112687317092,logged:max_le_30
GSE57345,GPL11532,Affymetrix HuGene-1_1-st microarray,signature_mean_of_two_rnaseq,failing_vs_non_failing,177,136,18615,10041,12784,4230,8381,2829,0.8190173206079887,0.4787316840297665,0.0,0.7742918953454816,0.0,logged:max_le_30
GSE57345,GPL11532,Affymetrix HuGene-1_1-st microarray,GSE116250_discovery_only,failing_vs_non_failing,177,136,18615,10041,12784,5747,8381,3808,0.7198004201680672,0.3077141096899734,1.8114688463355593e-278,0.5590664173753318,0.0,logged:max_le_30
GSE57345,GPL11532,Affymetrix HuGene-1_1-st microarray,GSE141910_validation_only,failing_vs_non_failing,177,136,18615,10041,12784,8764,8381,5811,0.8447771467905696,0.5489722838175704,0.0,0.7833254475891946,0.0,logged:max_le_30
GSE57345,GPL11532,Affymetrix HuGene-1_1-st microarray,signature_mean_of_two_rnaseq,ICM_vs_non_failing,177,136,18615,8755,12784,4230,7476,2544,0.8290094339622641,0.46335336580191655,0.0,0.7805951862315944,0.0,logged:max_le_30
GSE57345,GPL11532,Affymetrix HuGene-1_1-st microarray,signature_mean_of_two_rnaseq,NICM_vs_non_failing,177,136,18615,8818,12784,4230,7536,2592,0.8310185185185185,0.4841349975794231,0.0,0.792698854771683,0.0,logged:max_le_30
