gene,gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl
ENSG00000112562,SMOC2,1.8143507074056981,31.209348571902694,8.742814142739508e-105,1.8168442070026972e-100,13.276247615452247,194,166
ENSG00000164694,FNDC1,2.943464445770429,29.266785453465854,1.5713439981330882e-97,1.6327049812601853e-93,9.997206670236512,194,166
ENSG00000115602,IL1RL1,-4.156753943363913,-27.59481726384866,3.9764121094105403e-91,2.754460668188681e-87,10.806967619752681,194,166
ENSG00000162998,FRZB,2.1732399754847718,27.221757688732215,1.1158882187678444e-89,5.797318268553644e-86,11.346529658884391,194,166
ENSG00000233485,RP3-467K16.2,3.5218921240234593,26.98549411067813,9.2960737717533e-89,3.6301227352640114e-85,6.770859835090879,194,166
ENSG00000100095,SEZ6L,3.563744634759995,26.97214353499146,1.0481081955432398e-88,3.6301227352640114e-85,7.741186918217544,194,166
ENSG00000106483,SFRP4,3.4538015099650696,26.537134300463094,5.283830847744036e-87,1.5686184120995544e-83,10.943480644792078,194,166
ENSG00000177575,CD163,-2.514174311062515,-26.189781634096743,1.2271992819252455e-85,3.187803534711066e-82,14.329906978501235,194,166
ENSG00000164946,FREM1,1.8214016975733724,25.987707109357032,7.694472913753116e-85,1.7766537957855946e-81,10.86309895473335,194,166
ENSG00000075413,MARK3,-0.8951058419343091,-25.026105195930448,5.075538991785773e-81,1.0547477578830015e-77,14.518599249222468,194,166
ENSG00000175356,SCUBE2,2.1768392697701815,24.306196149023968,3.8994766888568e-78,7.366820461012105e-75,9.988842462191283,194,166
ENSG00000184005,ST6GALNAC3,-1.40540433258866,-23.807138615142478,4.0142927094192377e-76,6.951751399536765e-73,11.08222719622769,194,166
ENSG00000155659,VSIG4,-1.985548346522291,-23.719018785250935,9.119582874617479e-76,1.4578003978263525e-72,13.090409224252484,194,166
ENSG00000197616,MYH6,-2.754250439568039,-23.676785880265868,1.351675763890692e-75,2.0063695749580335e-72,17.04295340987662,194,166
ENSG00000169436,COL22A1,3.4493672564935007,23.300394398811463,4.537818086699671e-74,6.286693177313724e-71,7.18582929632357,194,166
ENSG00000139329,LUM,1.9615549026289951,23.185270636919036,1.3322800617208371e-73,1.7303819976637947e-70,15.508967784078138,194,166
ENSG00000265542,RP11-60A24.3,-2.4517960039550726,-23.176120337129134,1.451419871732556e-73,1.7742327267337793e-70,7.7737225352863115,194,166
ENSG00000120910,PPP3CC,-0.634564374820459,-23.030385310076262,5.683538690272202e-73,6.561645417919256e-70,13.390589482238068,194,166
ENSG00000197299,BLM,-2.0175110458111,-22.98810588293792,8.447722368875735e-73,9.23958518671614e-70,10.73318136048609,194,166
ENSG00000166482,MFAP4,1.6124778503566022,22.964549951593245,1.0535680611385684e-72,1.0947098939260296e-69,14.005821365481102,194,166
ENSG00000123243,ITIH5,1.4272486157896287,22.953119087840292,1.1727820882939387e-72,1.1605516465160162e-69,12.994113726918219,194,166
ENSG00000152086,TUBA3E,-2.9698956560971546,-22.75710133760961,7.382688946467146e-72,6.973620863478807e-69,12.046389212924725,194,166
ENSG00000132561,MATN2,1.3776220036394424,22.553912815288257,4.985950217075917e-71,4.463586200680871e-68,13.25408777965451,194,166
ENSG00000179954,SSC5D,2.0016709462947855,22.550368665362914,5.155000664854478e-71,4.463586200680871e-68,10.213406128525428,194,166
ENSG00000169385,RNASE2,-3.1459025254908917,-22.472405763411025,1.0736673764201017e-70,8.924752699754454e-68,7.027664727890606,194,166
ENSG00000143768,LEFTY2,2.763525601895506,22.435068588719904,1.525934332744051e-70,1.219632360336697e-67,7.837258461376976,194,166
ENSG00000198768,APCDD1L,3.1158043926455785,22.330894859702035,4.0710714532033353e-70,3.0711791717774845e-67,6.77207845374174,194,166
ENSG00000233098,RP11-344E13.3,2.397786053963085,22.329162933093,4.13805961261583e-70,3.0711791717774845e-67,8.544323040602965,194,166
ENSG00000075886,TUBA3D,-2.916113740654153,-22.227612544951462,1.0778348556228984e-69,7.723615908517053e-67,12.582056893891174,194,166
ENSG00000163145,C1QTNF7,1.7221776675078762,22.14388477778318,2.374462707540923e-69,1.6447903175135973e-66,10.087367786272312,194,166
ENSG00000181195,PENK,3.2981844314658586,22.109902634126065,3.272195928648139e-69,2.1935323739753862e-66,9.158503420480914,194,166
ENSG00000205795,CYS1,1.6972462938405493,22.055437383907996,5.471796027045275e-69,3.5534185386883706e-66,9.703840607260215,194,166
ENSG00000131386,GALNT15,-2.237450248676963,-21.99139390141901,1.0018293458152384e-68,6.308792616783779e-66,11.905701132493025,194,166
ENSG00000138356,AOX1,-2.575597334743204,-21.95044573643627,1.4750098156350892e-68,9.015346758444937e-66,10.65333449767119,194,166
ENSG00000095587,TLL2,1.6738384713958305,21.914326522223085,2.075017208410821e-68,1.2320266459424363e-65,11.505768780037187,194,166
ENSG00000142748,FCN3,-2.4802183265041204,-21.836842730588007,4.316374160134341e-68,2.4916269839375484e-65,11.620090974708875,194,166
ENSG00000213694,S1PR3,-1.3394132825421152,-21.676929641253206,1.959352685713734e-67,1.1004677881572192e-64,12.721389598136339,194,166
ENSG00000182197,EXT1,0.8122473954103823,21.62612837397936,3.1692958657958646e-67,1.7331878259764173e-64,12.59514081923316,194,166
ENSG00000106236,NPTX2,-2.5800327169908988,-21.576554475871617,5.067909120724824e-67,2.6960587637303026e-64,9.949562971002546,194,166
ENSG00000106819,ASPN,2.1151871819004735,21.57405166293497,5.189468771917237e-67,2.6960587637303026e-64,13.61786278292894,194,166
ENSG00000101187,SLCO4A1,-2.415667477097067,-21.568240467707597,5.4830849355522093e-67,2.7791216596514746e-64,11.28999691370042,194,166
ENSG00000125869,LAMP5,2.632220539206325,21.40115408668602,2.6706420446087863e-66,1.3213955316432188e-63,5.761799412297561,194,166
ENSG00000145861,C1QTNF2,1.6999508792646856,21.260113426800483,1.017484141408515e-65,4.917287893630314e-63,9.022941616989955,194,166
ENSG00000096060,FKBP5,-2.201779296660626,-21.049720047517088,7.4971300230136686e-65,3.540860432005615e-62,15.257389682507672,194,166
ENSG00000101825,MXRA5,2.659273560147084,20.9853464816746,1.3818634929394256e-64,6.381445610394267e-62,12.150778139056293,194,166
ENSG00000160310,PRMT2,0.5767763485214701,20.887834449615198,3.4906194213109327e-64,1.576925265092663e-61,13.690828138875796,194,166
ENSG00000142920,ADC,1.3922384774806156,20.864974288345906,4.33784587642485e-64,1.9179739395315917e-61,10.00648687491624,194,166
ENSG00000111684,LPCAT3,-0.8002488324421378,-20.850109555146744,4.996250464455549e-64,2.1630641854552246e-61,13.030295112672995,194,166
ENSG00000260186,RP11-481J2.2,-2.4288714082556973,-20.78255128055392,9.497625193552103e-64,4.0279622274940055e-61,9.219709452307166,194,166
ENSG00000183801,OLFML1,1.2182064075856893,20.763474816555423,1.1386842052714543e-63,4.732599293949218e-61,10.954960637078074,194,166
ENSG00000182667,NTM,1.69275602736167,20.749607367585156,1.2992172511297867e-63,5.29392817563296e-61,9.002241527123491,194,166
ENSG00000139289,PHLDA1,1.5957849465263445,20.66057309588901,3.0304864612727687e-63,1.211087291379027e-60,13.25701687825148,194,166
ENSG00000163812,ZDHHC3,-0.42225456090784025,-20.606004716756654,5.0935462009174e-63,1.9971506339861225e-60,13.725734587905778,194,166
ENSG00000133800,LYVE1,-1.9202141438883111,-20.60174523815198,5.304262026230122e-63,2.0412568364275588e-60,13.476132645473966,194,166
ENSG00000179639,FCER1A,2.782311659664538,20.34128258743778,6.334065328774571e-62,2.3912744439401403e-59,7.929357588478512,194,166
ENSG00000168077,SCARA3,1.4416673387385746,20.339477366412055,6.443932864667141e-62,2.3912744439401403e-59,10.292934091286176,194,166
ENSG00000113916,BCL6,-0.9506472679855398,-20.265100608459875,1.3088763581126645e-61,4.771887648761278e-59,13.76722846695488,194,166
ENSG00000105894,PTN,1.517089585844392,20.223719091232564,1.94157942246952e-61,6.956545168679155e-59,13.15989151005264,194,166
ENSG00000103528,SYT17,1.374318755569887,20.09858662830541,6.399533521719642e-61,2.2540458663534894e-58,8.086164124651832,194,166
ENSG00000197852,FAM212B,-0.9964519101396545,-20.05863621644161,9.366255870917816e-61,3.2440027208923855e-58,13.127050828833232,194,166
ENSG00000196632,WNK3,-1.9003974999977389,-19.989280259746447,1.8146107908060156e-60,6.1818732530721e-58,8.084269213653151,194,166
ENSG00000100206,DMC1,1.4456362996995105,19.917390826300817,3.602039360315502e-60,1.207322257205104e-57,8.062932454849186,194,166
ENSG00000133687,TMTC1,-1.3258379963909166,-19.882098807683967,5.043676137119525e-60,1.6636926000869973e-57,14.124833785167887,194,166
ENSG00000187922,LCN10,-2.995443532806572,-19.7912494166815,1.1999159386476854e-59,3.896164550162117e-57,8.26308067996945,194,166
ENSG00000273259,RP11-986E7.7,-2.4098634817151443,-19.752730817509732,1.7328564257026968e-59,5.540075289619653e-57,4.878607194541942,194,166
ENSG00000166033,HTRA1,1.0077189914623743,19.707655931935584,2.664147773305285e-59,8.388432557129868e-57,14.17771218187457,194,166
ENSG00000143595,AQP10,2.2466742553477888,19.660831820543848,4.165054788028188e-59,1.2918507992539368e-56,6.020327226742914,194,166
ENSG00000175220,ARHGAP1,0.6945445092447637,19.65245827653067,4.511559303601981e-59,1.3787457924728348e-56,14.155598298921674,194,166
ENSG00000254636,ARMS2,2.678131103508272,19.637512408303706,5.20324604804376e-59,1.5670819728173532e-56,5.824133556494097,194,166
ENSG00000156475,PPP2R2B,2.0954720939821283,19.62740759028657,5.730041988182475e-59,1.701085750806e-56,7.479697283731316,194,166
ENSG00000123572,NRK,1.6662518421997958,19.610149634311107,6.756036955959754e-59,1.977425408194361e-56,11.03679563708573,194,166
ENSG00000136436,CALCOCO2,-0.7316965657750056,-19.534704440237064,1.388151464043733e-58,4.0065521630962247e-56,15.614474906219117,194,166
ENSG00000154027,AK5,1.8171290484761005,19.483104624252398,2.2717276211747633e-58,6.466955026799007e-56,7.056495203211152,194,166
ENSG00000165449,SLC16A9,1.7805374574367272,19.38137713462697,5.999798271205979e-58,1.684889295593668e-55,10.286853671542644,194,166
ENSG00000091831,ESR1,1.4115002706544215,19.30609304820953,1.2311494320842793e-57,3.411268846419121e-55,8.890668904803755,194,166
ENSG00000267206,LCN6,-2.521372346341317,-19.2737909774075,1.6759547176429117e-57,4.582633550965441e-55,8.639155252313344,194,166
ENSG00000171385,KCND3,-1.1026483379769634,-19.23081225767055,2.5263529564392357e-57,6.81820010230698e-55,12.868999853687773,194,166
ENSG00000162383,SLC1A7,2.931117689052093,19.18892896445431,3.768675708911577e-57,1.0040621782934805e-54,7.078464206072129,194,166
ENSG00000129450,SIGLEC9,-1.6363175696131151,-19.05963847365772,1.2953820021949554e-56,3.407510555394097e-54,8.198213542938616,194,166
ENSG00000124713,GNMT,-2.517527798552208,-19.03244116909622,1.6795672323889581e-56,4.362885832034368e-54,7.747474593820718,194,166
ENSG00000267577,CTD-2587H24.5,2.1766586831516754,19.028526164305823,1.7435514079008482e-56,4.4731780009367315e-54,10.191012364674524,194,166
ENSG00000246100,LINC00900,1.4699213861396812,18.981065930822616,2.7433145602284643e-56,6.952295106842405e-54,7.817491494213531,194,166
ENSG00000121005,CRISPLD1,2.5340353477675386,18.96881211387263,3.0838865825012195e-56,7.721234586862391e-54,8.918466588411034,194,166
ENSG00000196821,C6orf106,-0.5663032800991407,-18.95505522398829,3.5168613048335624e-56,8.700463663779317e-54,15.258544752550412,194,166
ENSG00000129244,ATP1B2,1.2939537143924353,18.910877620848336,5.36268545109395e-56,1.3110819571668632e-53,10.0498493019231,194,166
ENSG00000142973,CYP4B1,-2.697482884638552,-18.865636943562215,8.260716986993934e-56,1.9961158105432668e-53,12.244593725559453,194,166
ENSG00000111452,GPR133,-1.0756804251837564,-18.857000432891557,8.970929412106869e-56,2.142814759919458e-53,13.200746088417683,194,166
ENSG00000198033,TUBA3C,-2.7259908154251864,-18.711600060596137,3.596370476129526e-55,8.492747143687235e-53,5.727208016245356,194,166
ENSG00000016391,CHDH,-1.5303536470215813,-18.695841894307847,4.180385651447088e-55,9.760965643002465e-53,9.817502635247868,194,166
ENSG00000171552,BCL2L1,-0.6945636836663978,-18.67597407095878,5.053714741484931e-55,1.1669027338088706e-52,13.846038441834331,194,166
ENSG00000149633,KIAA1755,1.6071166191287345,18.671873105002994,5.255545473505273e-55,1.2001702251089348e-52,10.58034491360138,194,166
