gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
HMGN2,0.6524161287416013,13.807253293387495,2.013962726735011e-31,2.517856200964111e-27,10.201308180780957,194,16,0.6397306248911852,1.8893956663446566e-18,0.6683467614840269,1.0906972827119227e-18,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MYOT,-2.2638561386855636,-12.07408581004257,6.214262084904648e-26,3.7847620531907335e-22,6.11469187304762,194,16,-2.266087966564812,3.3374998757646207e-15,-2.26105337809304,3.7442743033855335e-15,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ASPN,2.4806240857274697,12.002561931638352,1.041709018732422e-25,3.7847620531907335e-22,8.493023033323812,194,16,2.441723687784731,4.1459520250867975e-15,2.5294757482601735,4.133105301333153e-20,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
TRMT5,0.6392125190682804,11.981707011900133,1.2109301082037222e-25,3.7847620531907335e-22,9.372044499228576,194,16,0.6079761824027693,3.773735144138725e-15,0.6784395465087123,2.2537130757007513e-19,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
LUM,2.088302456562521,11.91352924041873,1.980091696062972e-25,4.951021276835855e-22,8.319699277404759,194,16,2.063682617303242,2.5140589505606413e-15,2.119220394236949,3.981521742197904e-18,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SERPINA3,-1.345364853235191,-11.29689847218371,1.6476739978560515e-23,3.4332033868660596e-20,7.140178684395239,194,16,-1.3080528971921386,1.488793174266608e-14,-1.3922217282659872,8.341305178197915e-17,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HMOX2,-0.8383490354845488,-11.015225109453047,1.2193631361316078e-22,2.1777825611310515e-19,7.713926700742862,194,16,-0.8567937931574187,3.0067861890584807e-15,-0.8151858514302235,6.369679167998734e-16,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HTRA1,0.7654777833853064,10.234836359997896,2.899991422912489e-20,4.458747019505214e-17,8.874930644680951,194,16,0.7747097354861383,6.601059014497524e-12,0.7538841691191838,9.960525095007704e-15,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
FCN3,-1.2713123132860624,-10.220192622855043,3.209784288557585e-20,4.458747019505214e-17,6.948431804000003,194,16,-1.3405051255740816,8.421145656305197e-16,-1.1844190141337232,5.221306285366012e-11,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MARK3,-0.6499018896037732,-9.776294213188377,6.799084986479341e-19,8.500216050096472e-16,7.2838743414047595,194,16,-0.6409439241736099,1.9377629480101272e-10,-0.6611514275857435,1.0976891408891725e-12,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
NOP16,-0.6097093918833559,-9.4197473301584,7.619905189066462e-18,8.660368606700811e-15,7.514067113209522,194,16,-0.5903533405208276,2.213798901312902e-09,-0.6340169912688899,4.207482033409795e-12,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SLCO4A1,-0.9202965303176495,-9.206776351864688,3.17358155069571e-17,3.30634304556648e-14,6.84409341287619,194,16,-0.9139789723217625,7.702576804392744e-12,-0.9282302078008684,5.221306285366012e-11,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HOPX,-1.5010726850670042,-8.949777413329297,1.7434991706433061e-16,1.6767097408755856e-13,6.58153832860476,194,16,-1.4982899206388882,1.9377629480101272e-10,-1.5045673194651108,3.2662597101541125e-11,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CNN1,-1.35446789074809,-8.926644237256118,2.0303996530795394e-16,1.8131468902000286e-13,8.180139382895241,194,16,-1.3170961062477042,1.5725697859962343e-09,-1.401399899190401,1.2042137573143755e-11,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ISLR,0.8570002438382953,8.855939152985979,3.23096620893268e-16,2.6929026362717576e-13,7.039506217352383,194,16,0.8458215663310369,2.410900422531041e-09,0.8710385830334151,3.7846841385624144e-14,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
GLRX2,-0.7360974144033346,-8.697156367193761,9.116151218223946e-16,7.123132658139736e-13,6.966480934247617,194,16,-0.7238070627083403,1.9377629480101272e-10,-0.7515318095552307,7.55388390431966e-10,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
