gse,platform,gene,probe,mean_intensity,log2FC_raw,t,p_ttest,n_probes_for_gene
GSE1869,GPL96,ATP2A2,212361_s_at,12.390239163783782,-0.3212244451075268,-2.5268856332666934,0.016181146416745607,3
GSE1869,GPL96,ATP2A2,209186_at,7.384372940216216,0.2989881988333325,1.1193395806696516,0.27061846657700406,3
GSE1869,GPL96,ATP2A2,212362_at,6.388282031054055,-0.11547521657526971,-1.1512212862096547,0.25744527854561694,3
GSE5406,GPL96,ATP2A2,212361_s_at,11.937980326685713,-0.11657379704768012,-1.1081271359065368,0.26908662779191617,3
GSE5406,GPL96,ATP2A2,209186_at,7.306483079414286,-0.5881574883208769,-5.014408969833447,1.1373473690216907e-06,3
GSE5406,GPL96,ATP2A2,212362_at,5.5497503897666665,-0.4282811387641745,-6.327441399059097,1.5039169823946152e-09,3
GSE57345,GPL11532,ATP2A2,7958644,11.837459647722046,-0.23859677571859272,-6.94464290589037,2.222699822215935e-11,1
GSE1869,GPL96,MYH6,214468_at,10.25401470691892,-1.6753401231397849,-5.215934554024215,8.346267789520038e-06,1
GSE5406,GPL96,MYH6,214468_at,9.86685387304762,-1.392881910354383,-4.961542470829631,1.4520492943569896e-06,1
GSE57345,GPL11532,MYH6,7977987,10.120951804830673,-1.5792762015869037,-14.62187956133817,3.262054644027284e-37,1
GSE1869,GPL96,NPPA,209957_s_at,10.043180318675676,1.485168606994625,2.0267088758348284,0.05036421127325312,1
GSE5406,GPL96,NPPA,209957_s_at,10.800376254957142,1.8561145153724237,6.6015868198834715,3.3251331907630284e-10,1
GSE57345,GPL11532,NPPA,7912515,7.495934478185303,1.7327092065309504,7.713284124494278,1.675012520405771e-13,1
GSE1869,GPL96,NPPB,206801_at,9.754158912486487,1.9311151519032244,1.8757823379922791,0.06904591941565295,1
GSE5406,GPL96,NPPB,206801_at,9.988408342409523,-0.14177077528157334,-0.3103736124828912,0.7565876306909763,1
GSE57345,GPL11532,NPPB,7912520,8.04875412717572,0.3032175573298037,1.314989998033831,0.1894820377220652,1
