cohort_a,cohort_b,platform_a,platform_b,tech_a,tech_b,same_platform,same_technology,n_shared_genes,n_sig_in_both,rho_all_shared,rho_sig_in_both,concordance_sig_in_both
GSE116250,GSE141910,GPL16791,GPL16791,RNA-seq,RNA-seq,True,True,17974,5702,0.5425000512064639,0.7599153578315158,0.8812697299193265
GSE116250,GSE5406,GPL16791,GPL96,RNA-seq,microarray,False,False,9826,882,0.20949167058983995,0.5289395805319066,0.7687074829931972
GSE116250,GSE1869,GPL16791,GPL96,RNA-seq,microarray,False,False,9826,357,-0.06101240743501742,0.15445811743817484,0.5882352941176471
GSE116250,GSE57345,GPL16791,GPL11532,RNA-seq,microarray,False,False,13069,3841,0.3051201950642932,0.5607005303100429,0.7206456651913564
GSE141910,GSE5406,GPL16791,GPL96,RNA-seq,microarray,False,False,10352,1323,0.4045218621407144,0.776943363390181,0.90854119425548
GSE141910,GSE1869,GPL16791,GPL96,RNA-seq,microarray,False,False,10352,485,-0.08468719033196541,0.1425440492607003,0.5195876288659794
GSE141910,GSE57345,GPL16791,GPL11532,RNA-seq,microarray,False,False,13859,6117,0.5365008550335254,0.7718288199815599,0.846329900277914
GSE5406,GSE1869,GPL96,GPL96,microarray,microarray,True,True,12502,229,0.11688266297620088,0.6836759165808961,0.9475982532751092
GSE5406,GSE57345,GPL96,GPL11532,microarray,microarray,False,True,11636,1498,0.5720019820902925,0.8608000475870937,0.9786381842456608
GSE1869,GSE57345,GPL96,GPL11532,microarray,microarray,False,True,11636,543,0.2439068535692338,0.6146605214020942,0.8876611418047882
