gene,gene_symbol,log2FC_discovery,fdr_discovery,log2FC_validation,fdr_validation,direction,combined_z,min_abs_log2FC
ENSG00000164694,FNDC1,1.6884529500774237,1.0921373587286127e-11,2.943464445770429,1.6327049812601853e-93,up,20.24463505245826,1.6884529500774237
ENSG00000112562,SMOC2,1.4063635951138131,5.7005627518463736e-08,1.8143507074056981,1.8168442070026972e-100,up,19.655308062334676,1.4063635951138131
ENSG00000162998,FRZB,1.8895498261186283,5.545267095489235e-09,2.1732399754847718,5.797318268553644e-86,up,18.803105377900323,1.8895498261186283
ENSG00000164946,FREM1,1.303733660332426,3.2301506204205845e-09,1.8214016975733724,1.7766537957855946e-81,up,18.484140339828716,1.303733660332426
ENSG00000106483,SFRP4,2.847990874371248,2.1177458667312096e-08,3.4538015099650696,1.5686184120995544e-83,up,18.404093780010484,2.847990874371248
ENSG00000196821,C6orf106,-0.9794348999815716,4.1157476614574705e-20,-0.5663032800991407,8.700463663779317e-54,down,-18.3830194355532,0.5663032800991407
ENSG00000233485,RP3-467K16.2,0.6365227366078677,4.889658317994718e-07,3.5218921240234593,3.6301227352640114e-85,up,18.092790228165416,0.6365227366078677
ENSG00000123243,ITIH5,1.286806647198691,2.6914475129472968e-11,1.4272486157896287,1.1605516465160162e-69,up,18.05841151816215,1.286806647198691
ENSG00000139329,LUM,2.01625850479976,4.523313111618901e-09,1.9615549026289951,1.7303819976637947e-70,up,17.467060760670442,1.9615549026289951
ENSG00000175356,SCUBE2,1.6978594955015303,2.0808705426074532e-07,2.1768392697701815,7.366820461012105e-75,up,17.32980204604713,1.6978594955015303
ENSG00000205795,CYS1,1.028292859242802,8.744058608839965e-10,1.6972462938405493,3.5534185386883706e-66,up,17.27081757481036,1.028292859242802
ENSG00000100095,SEZ6L,0.8263481009403244,8.995108526376115e-05,3.563744634759995,3.6301227352640114e-85,up,17.22894101889489,0.8263481009403244
ENSG00000169385,RNASE2,-1.3210195847035162,6.227245599675238e-09,-3.1459025254908917,8.924752699754454e-68,down,-17.161189998226725,1.3210195847035162
ENSG00000197616,MYH6,-0.6121767823924571,1.9972237396598533e-07,-2.754250439568039,2.0063695749580335e-72,down,-17.113275466572983,0.6121767823924571
ENSG00000179954,SSC5D,1.510789568902959,2.3410374572615414e-08,2.0016709462947855,4.463586200680871e-68,up,17.009205210919145,1.510789568902959
