gene,protein_class,secretome_location,secretome_function,is_secreted,is_plasma,is_membrane,is_intracellular,is_secreted_to_blood,secretion_tier,is_structural_ecm
A1BG,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to blood,No annotated function,True,True,False,True,True,core,False
A1CF,Predicted intracellular proteins,,,False,False,False,True,False,none,False
A2M,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Secreted to blood,Enzyme inhibitor,True,True,False,False,True,core,False
A2ML1,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Secreted in other tissues,Enzyme inhibitor,True,False,False,True,False,extended,False
A3GALT2,"Enzymes, Predicted membrane proteins",,,False,False,True,False,False,none,False
A4GALT,"Enzymes, Metabolic proteins, Predicted membrane proteins",,,False,False,True,False,False,none,False
A4GNT,"Metabolic proteins, Predicted intracellular proteins",Intracellular and membrane,Enzyme,False,False,False,True,False,none,False
AAAS,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters",,,False,False,False,True,False,none,False
AACS,"Enzymes, Metabolic proteins, Predicted membrane proteins",,,False,False,True,False,False,none,False
AADAC,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AADACL2,Predicted secreted proteins,Secreted in other tissues,Enzyme,True,False,False,False,False,extended,False
AADACL3,Predicted membrane proteins,,,False,False,True,False,False,none,False
AADACL4,Predicted membrane proteins,,,False,False,True,False,False,none,False
AADAT,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AAGAB,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",,,False,False,False,True,False,none,False
AAK1,"Enzymes, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AAMDC,Predicted intracellular proteins,,,False,False,False,True,False,none,False
AAMP,"Essential proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
AANAT,"Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AAR2,Predicted intracellular proteins,,,False,False,False,True,False,none,False
AARD,Predicted intracellular proteins,,,False,False,False,True,False,none,False
AARS1,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",,,False,True,False,True,False,none,False
AARS2,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AARSD1,Predicted intracellular proteins,,,False,False,False,True,False,none,False
AASDH,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",,,False,False,True,True,False,none,False
AASDHPPT,"Enzymes, Metabolic proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AASS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AATF,"Essential proteins, Predicted intracellular proteins",,,False,False,False,True,False,none,False
AATK,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
ABAT,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",,,False,True,False,True,False,none,False
ABCA1,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,True,True,True,False,none,False
ABCA10,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,False,True,True,False,none,False
ABCA12,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",,,False,True,True,False,False,none,False
ABCA13,Predicted membrane proteins,,,False,False,True,False,False,none,False
ABCA2,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",,,False,True,True,True,False,none,False
ABCA3,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",,,False,True,True,False,False,none,False
