ligand,in_gtex_table,log2FC_GSE116250,fdr_GSE116250,log2FC_GSE141910,fdr_GSE141910,min_log2FC,A1_pass,ratio_GAPDH_GSE116250,ratio_GAPDH_GSE141910,min_ratio_GAPDH,A2_pass,best_heart_rank,n_tissues,top_tissue,gtex_classification,A3_pass,pass_all,binding_constraint,orig_cardiac_enriched,newly_admitted_by_A3
AGT,True,0.2190920486815597,0.041723526002956,0.1340849765140032,0.0467169930960089,0.1340849765140032,False,0.04898311769885936,0.04477929992749559,0.04477929992749559,True,11.0,52.0,Liver,cardiac-expressed-but-not-enriched,True,False,A1,False,True
BMP4,True,1.0113442515336823,2.5712851036073764e-07,0.8020750052388378,6.230841538310373e-28,0.8020750052388378,False,0.00863312961312286,0.004738517602775999,0.004738517602775999,False,29.0,52.0,Vagina,not-cardiac (below tissue median),False,False,A1+A2+A3,False,False
BMP6,True,0.6188960805074984,0.0051430335116881,0.4694160513240288,7.491413693648246e-09,0.4694160513240288,False,0.0017177207215008476,0.003393623333726736,0.0017177207215008476,False,28.0,52.0,Adipose_Subcutaneous,not-cardiac (below tissue median),False,False,A1+A2+A3,False,False
CCL21,False,0.8677199359221113,0.0240530019525508,0.9572134938990848,1.8427806277708062e-08,0.8677199359221113,False,0.009176294093523218,0.004994891550926358,0.004994891550926358,False,,,,,False,False,A1+A2+A3,False,False
CCL24,False,0.7485436645656645,0.0011979406530418,1.5518972254341374,5.728517001235768e-19,0.7485436645656645,False,0.0008574390001209684,8.679796062856087e-05,8.679796062856087e-05,False,,,,,False,False,A1+A2+A3,False,False
CCL3,True,0.7729684101325457,0.0464755646142632,1.2303367441409303,4.418593519118353e-12,0.7729684101325457,False,0.0011276556788175126,0.00023797721786252834,0.00023797721786252834,False,22.0,52.0,Spleen,cardiac-expressed-but-not-enriched,True,False,A1+A2,False,True
CCL4,True,0.7161548153214166,0.0424377126052078,1.1072004023568878,9.556317932409482e-17,0.7161548153214166,False,0.0011334104436498222,0.00047788582324378016,0.00047788582324378016,False,31.0,52.0,Spleen,not-cardiac (below tissue median),False,False,A1+A2+A3,False,False
CCL5,True,1.0092021625221508,0.0007260841885184,2.173724082870581,3.656609510875782e-49,1.0092021625221508,True,0.0021576135755485967,0.0012505700961731871,0.0012505700961731871,False,31.0,52.0,Whole_Blood,not-cardiac (below tissue median),False,False,A2+A3,False,False
CTF1,True,1.137692786165213,8.138689211741415e-15,0.9606201247005988,7.598510418840697e-30,0.9606201247005988,False,0.007573239926029471,0.0063542510761713895,0.0063542510761713895,True,19.0,52.0,Uterus,cardiac-expressed-but-not-enriched,True,False,A1,False,True
CX3CL1,True,1.057253449803677,7.678208507514824e-08,0.9000567935305978,4.5880590041050024e-29,0.9000567935305978,False,0.008252377302448707,0.017232273320096338,0.008252377302448707,True,36.0,52.0,Lung,not-cardiac (below tissue median),False,False,A1+A3,False,False
CXCL16,False,0.6289377744633551,0.0063538972366692,0.4297846496087542,2.4666920368214945e-07,0.4297846496087542,False,0.0055884745586970855,0.003926176185772992,0.003926176185772992,False,,,,,False,False,A1+A2+A3,False,False
CXCL9,True,0.9135635157171048,0.037450191091907,1.761214869619937,8.369610192585981e-20,0.9135635157171048,False,0.001586228081397627,0.0011385152058746093,0.0011385152058746093,False,24.0,52.0,Lung,not-cardiac (heart TPM < 1),True,False,A1+A2,False,True
