gene,gene_symbol,logFC,t,P.Value,adj.P.Val,AveExpr,s2_prior_gene,limma_variant,df_prior
ENSG00000000003,TSPAN6,0.240006810157274,2.71272823150996,0.0085302834141833,0.0236520513293796,3.14143494335353,0.113332615298144,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000000005,TNMD,1.32057778639129,3.8634578589528,0.0002603214607153,0.0012953993196169,1.22127851411977,0.140722014467279,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000000419,DPM1,0.14545779280498,1.90070546215293,0.0617739042578601,0.120190590737032,6.24616359222561,0.0747078859239218,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000000457,SCYL3,-0.2001058506336,-3.00563217249975,0.0037625681558191,0.0119735465931732,2.61114713894237,0.123836799275193,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000000460,C1orf112,-0.0239344067784623,-0.395611461972204,0.693686431723717,0.778341256673664,0.826707787543807,0.14078965366927,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000000938,FGR,0.122931071027652,0.585958891391618,0.559931198440903,0.669071365501755,2.93691226476203,0.117423552724803,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000000971,CFH,0.760977735122953,3.04031391363265,0.0034034937854714,0.0110409459342136,5.30657683955855,0.0813882097038385,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001036,FUCA2,-0.264537055534761,-3.42007118440189,0.0010859028796469,0.0042501129140878,5.29599297081266,0.0814832741158456,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001084,GCLC,-0.427674578939185,-4.78355760682618,1.02729304325385e-05,8.49999644172656e-05,5.42982396634848,0.0803165816166636,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001167,NFYA,0.185185278946079,2.10758656200024,0.038926293266271,0.0826709898498603,2.76116485624113,0.12091676060646,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001460,STPG1,-0.181504859013156,-2.09061691062462,0.0404749069701399,0.0852606254129809,2.49242033881317,0.126080305766529,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001461,NIPAL3,-0.124692009114617,-1.70944396629998,0.0921365567182032,0.165985196324275,3.49460453789512,0.10642521719563,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001497,LAS1L,0.308165793612597,5.21581438315846,2.03827208246352e-06,2.19129250867398e-05,4.54503765755417,0.0895906639472981,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001561,ENPP4,-0.0425703344908094,-0.364272362510446,0.71683631251868,0.796308231843023,3.45231684680663,0.107232565301686,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001617,SEMA3F,0.187998013549956,1.21093885812737,0.23030088470103,0.342233612574577,3.23650289237414,0.111443277688163,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001626,CFTR,-0.499084053671907,-6.13963017551903,5.55187468719481e-08,1.13577567130195e-06,0.169066145818595,0.138273365524878,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001629,ANKIB1,-0.441156887313376,-4.38484222301206,4.33639119373544e-05,0.000286175695948,3.42215949249178,0.10781236831535,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001630,CYP51A1,-0.177130687449689,-1.54799485884278,0.126476198229887,0.21461380910911,3.94203741780084,0.0984107744398148,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000001631,KRIT1,-0.390528266312726,-5.16284483015847,2.49197724315515e-06,2.60492468499663e-05,5.45850598960047,0.0800763719319931,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000002016,RAD52,-0.197663712163461,-1.58937961705991,0.116824559243453,0.201161856323094,4.22929974547195,0.0939161631118969,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
ENSG00000002330,BAD,-0.315957340164088,-3.099224500481,0.0028657892014357,0.0095453696265516,6.6571133172914,0.0727419295506908,limma-trend (eBayes trend=TRUE) on log2(RPKM+1),3.037268
