pmid,first_author,year,journal,title,topic,claim_supported,evidence_type,evidence_strength,direction
29622155,Selvaraj S,2018,J Am Coll Cardiol,Lack of Association Between Heart Failure and Incident Cancer.,counter_evidence,"In 28,341 Physicians' Health Study participants with adjudicated outcomes and median 19.9-year follow-up, HF modelled as a time-varying exposure was NOT associated with cancer incidence (adjusted HR 1.05, 95% CI 0.86-1.29) or with cancer-specific mortality.",human_observational,strong,contradicts
31645288,Sessler DI,2019,Lancet,Recurrence of breast cancer after regional or general anaesthesia: a randomised controlled trial.,counter_evidence,"In a randomised trial of 2,108 women undergoing breast cancer resection, regional anaesthesia-analgesia (avoiding opioids and volatile agent) did not reduce recurrence versus general anaesthesia with opioid analgesia; the trial stopped for futility.",human_interventional,strong,contradicts
34192298,Xu ZZ,2021,Anesthesiology,Epidural Anesthesia-Analgesia and Recurrence-free Survival after Lung Cancer Surgery: A Randomized Trial.,counter_evidence,"In 400 patients randomised during lung cancer surgery, epidural anaesthesia-analgesia did not improve recurrence-free survival (adjusted HR 0.90, 95% CI 0.60-1.35) versus general anaesthesia with intravenous opioids.",human_interventional,strong,contradicts
35138351,Bommareddy K,2022,JAMA Dermatol,Association of Spironolactone Use With Risk of Cancer: A Systematic Review and Meta-analysis.,counter_evidence,"Systematic review and meta-analysis of spironolactone, a drug given to most HF patients, and cancer risk - illustrating that HF pharmacotherapy is a candidate confounder for any HF-cancer association.",meta_analysis,moderate,contradicts
37508517,Awwad L,2023,Cells,Tumor Growth Ameliorates Cardiac Dysfunction.,counter_evidence,"In the reciprocal direction, tumour-bearing mice subjected to pressure overload showed reduced cardiac hypertrophy, less fibrosis and improved contractile function, mediated by tumour-driven M1-to-M2 cardiac macrophage polarisation.",mechanistic_animal,moderate,contradicts
37759510,Awwad L,2023,Cells,Tumor Progression Reverses Cardiac Hypertrophy and Fibrosis in a Tetracycline-Regulated ATF3 Transgenic Mouse Model.,counter_evidence,"Tumour progression reversed cardiac hypertrophy and fibrosis in a tetracycline-regulated ATF3 transgenic mouse model, further complicating a simple unidirectional HF-to-cancer narrative.",mechanistic_animal,weak,contradicts
39935109,MacGowan H,2025,Eur J Heart Fail,Comorbidity trajectories before and after the diagnosis of heart failure: A UK Biobank cohort study.,counter_evidence,"In UK Biobank, comorbidities accumulated for over a decade before HF diagnosis and cancer was among the diseases commonly immediately preceding HF, so HF is typically a late event in a multimorbidity trajectory rather than a clean baseline exposure.",human_observational,moderate,contradicts
41014601,van den Berg PF,2026,Eur J Prev Cardiol,Framingham risk score associates with incident cancer and heart failure.,counter_evidence,"The Framingham risk score, built from shared risk factors, predicted both incident cancer (sHR 2.32) and incident HF (sHR 10.08) in PREVEND with replication in UK Biobank, showing a shared risk-factor substrate can generate the HF-cancer association without HF causing cancer.",human_observational,strong,contradicts
23810869,Hasin T,2013,J Am Coll Cardiol,Patients with heart failure have an increased risk of incident cancer.,epidemiology,"In the Olmsted County community cohort, HF patients had a 68% higher adjusted risk of incident cancer (HR 1.68, 95% CI 1.13-2.50) after adjustment for BMI, smoking and comorbidities; pre-index cancer history did not differ between cases and controls.",human_observational,moderate,supports
26751260,Banke A,2016,Eur J Heart Fail,Incidence of cancer in patients with chronic heart failure: a long-term follow-up study.,epidemiology,"In 9,307 Danish chronic HF outpatients the cancer incidence rate ratio versus the general population was 1.24 (95% CI 1.15-1.33), elevated in all age strata and for all major cancer types except prostate, and persisting beyond the first year after HF diagnosis.",human_observational,moderate,supports
30715247,Meijers WC,2019,Cardiovasc Res,Common risk factors for heart failure and cancer.,epidemiology,"Review arguing that behavioural risk factors historically classified as cardiovascular equally predict cancer, so a holistic risk estimate is needed.",review,moderate,neutral
31745841,Zhang H,2020,Heart Fail Rev,Does heart failure increase the risk of incident cancer? A meta-analysis and systematic review.,epidemiology,"Meta-analysis of 4 cohort studies (5,004,251 participants) gave a pooled RR for incident cancer in HF of 1.22 (95% CI 1.13-1.33) and a pooled co-mortality RR of 2.03 (95% CI 1.13-3.65).",meta_analysis,moderate,supports
