exploratory_status,analysis,tumor_type,n,events,HR,ci_lo,ci_hi,p,sex_in_model,fit_status,fdr,exposure,prespecified_direction,endpoint,model_software,B1_verdict
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_pooled_stratified_cox_PRIMARY,"POOLED (15 types, stratified)",6764,1741,1.0285186644293574,0.9809374528275032,1.078407843466826,0.24460243250563002,True,ok,,z_log(NPR1)=z-score of log2(RSEM+1) within tumour type,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_pooled_stratified_cox_SENSITIVITY,"POOLED (15 types, stratified)",6764,1741,1.036984649853156,0.9932102008962321,1.0826884007642414,0.09886885671751755,True,ok,,z-score of raw RSEM within tumour type,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,BLCA,406,178,1.0618964207313977,0.9190141682402403,1.226993062056232,0.4153393300768339,True,ok,0.6230089951152509,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,BRCA,1081,151,0.9859224219323462,0.845398866738999,1.1498040277939519,0.8565953073384032,True,ok,0.8692574712976431,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,COAD,432,97,1.191015332550541,0.9877481203165794,1.436112601171878,0.06712291864464533,True,ok,0.15156898174190753,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,ESCA,184,77,0.9809676328342507,0.7803408323465703,1.2331758851766086,0.8692574712976431,True,ok,0.8692574712976431,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,HNSC,519,220,0.8984745494399359,0.7794430075112253,1.035683825773073,0.13983001675719975,True,ok,0.26218128141974956,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,KICH,65,9,0.45568870998049266,0.2224969763934883,0.9332809990031073,0.031654949756549165,True,ok,0.10506660645606798,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,KIRC,531,175,0.9819260029950785,0.833902229738479,1.1562250836770973,0.8268222936534916,True,ok,0.8692574712976431,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,KIRP,285,44,0.5419632602424804,0.40515592979202525,0.7249657572664263,3.678707268217446e-05,True,ok,0.0005518060902326169,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,LIHC,365,130,0.8545055932316392,0.7205387510831885,1.0133803459792743,0.07073219147955685,True,ok,0.15156898174190753,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B1_per_type_cox,LUAD,492,179,1.0184080716406807,0.8787400655652465,1.1802750790880845,0.8084941517538333,True,ok,0.8692574712976431,,HR < 1,OS / OS.time (TCGA-CDR); PFI not used (prohibition P3),lifelines 0.30.3 CoxPHFitter,FAIL (pooled p=0.2446 not < 0.05 AND HR=1.0285 not < 1)
