dataset,metric_level,cell_type,gene,contrast,n_cells,pct_total_PTN_counts,mean_PTN_cp10k,pct_cells_PTN_pos,n_case_donors,n_ctrl_donors,mean_log2cp10k_case,mean_log2cp10k_ctrl,log2FC_pseudobulk,mannwhitney_p,fdr
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,fibroblast of cardiac tissue,,,118389.0,70.7403,1.4939,25.7237,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,unknown,,,40561.0,8.9927,0.4391,10.3104,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,mural cell,,,128390.0,8.4933,0.271,3.7223,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,cardiac muscle cell,,,197321.0,6.2378,0.0423,1.9881,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,endothelial cell,,,103157.0,2.4972,0.1166,1.5365,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,myeloid cell,,,52583.0,1.1867,0.0826,1.4453,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,cardiac neuron,,,8167.0,1.0527,0.3223,5.8896,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,adipocyte,,,1669.0,0.4092,0.2535,10.9047,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,lymphocyte,,,14712.0,0.3611,0.1517,1.5566,,,,,,,
"CELLxGENE 65badd7a (Reichart 2022 DCM/ACM snRNA-seq, n=67 donors)",cell_type_marker_share,mast cell,,,1006.0,0.0291,0.1838,1.8887,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,fibroblast of cardiac tissue,,,47309.0,61.6091,0.799,14.771,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,cardiac muscle myoblast,,,64510.0,16.185,0.0592,3.8831,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,cardiac endothelial cell,,,32684.0,7.8865,0.2435,3.7082,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,pericyte,,,11752.0,4.8967,0.3709,6.0075,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,immature innate lymphoid cell,,,21082.0,4.2905,0.1971,3.2113,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,smooth muscle myoblast,,,2736.0,1.5891,0.414,7.8582,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,lymphoid lineage restricted progenitor cell,,,5064.0,1.2418,0.2762,3.7125,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,unknown,,,2980.0,1.0182,0.2989,4.8322,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,neuronal receptor cell,,,2436.0,0.8534,0.3241,5.3366,,,,,,,
"CELLxGENE 1c739a3e (Kuppe 2022 myocardial infarction snRNA-seq, n=20 donors)",cell_type_marker_share,adipocyte of epicardial fat of left ventricle,,,523.0,0.2413,0.1025,5.5449,,,,,,,
