identifier,pmid,doi,pmc,title,year,journal,publication_types,evidence_tier,what_it_measured,direction,classification_cardiac_plasma_source,verification_note,how_record_was_found
PMID:41640280,41640280,10.3724/abbs.2026018,PMC12900733,Cardiac PTN-SIRT1 axis alleviates oxidative stress and promotes mitochondrial energy reprogramming to mitigate doxorubicin-induced cardiotoxicity through AMPK/PGC1&#x3b1; signaling.,2026,Acta Biochim Biophys Sin (Shanghai),Journal Article,cardiac_ptn_tissue_or_model,"PTN protein expression in cardiomyocytes/cardiac tissue, cellular and mouse models of doxorubicin cardiotoxicity",down_vs_control,irrelevant,,abstract_search
PMID:41676658,41676658,10.64898/2026.02.02.703357,PMC12889647,Cell type-resolved proteomics reveals intra- and intercellular signaling in Alzheimer's disease.,2026,bioRxiv,Journal Article; Preprint,cardiac_ptn_tissue_or_model,PTN protein in brain astrocytes/microglia (mouse AD models); recombinant PTN on human iMG cells,up_vs_control,irrelevant,,abstract_search
PMID:39765325,39765325,10.1016/j.lfs.2024.123356,,PTN secreted by cardiac fibroblasts promotes myocardial fibrosis and inflammation of pressure overload-induced hypertrophic cardiomyopathy through the PTN-SDC4 pathway.,2025,Life Sci,Journal Article,cardiac_ptn_tissue_or_model,"PTN ligand secreted by cardiac fibroblasts in mouse heart tissue (TAC model, scRNA-seq/in vitro)",up_vs_control,irrelevant,,abstract_search
PMID:39975371,39975371,10.1101/2025.02.04.636516,PMC11838563,"Transcription can be sufficient, but is not necessary, to advance replication timing.",2025,bioRxiv,Journal Article; Preprint,cardiac_ptn_tissue_or_model,"Ptn gene transcription/replication timing, mouse embryonic stem cells and neural precursors; no plasma/serum protein measured",not_applicable,irrelevant,,abstract_search
PMID:39722892,39722892,10.3389/fmolb.2024.1524827,PMC11668632,Integrated multi-omics analysis describes immune profiles in ischemic heart failure and identifies PTN as a novel biomarker.,2024,Front Mol Biosci,Journal Article,cardiac_ptn_tissue_or_model,"PTN upregulated in multi-omics (transcriptomic/proteomic) datasets, likely cardiac tissue, species unspecified",up_vs_control,irrelevant,,abstract_search
PMID:37953259,37953259,10.1186/s12974-023-02949-w,PMC10641988,NeuroD1 administration ameliorated neuroinflammation and boosted neurogenesis in a mouse model of subarachnoid hemorrhage.,2023,J Neuroinflammation,Journal Article,cardiac_ptn_tissue_or_model,"PTN release in mouse hippocampal brain tissue (not cardiac, not plasma), subarachnoid hemorrhage model",up_vs_control,irrelevant,,abstract_search
PMID:38004354,38004354,10.3390/life13112215,PMC10672726,What Links Chronic Kidney Disease and Ischemic Cardiomyopathy? A Comprehensive Bioinformatic Analysis Utilizing Bulk and Single-Cell RNA Sequencing Data with Machine Learning.,2023,Life (Basel),Journal Article,cardiac_ptn_tissue_or_model,"PTN mRNA/gene expression in human heart tissue (scRNA-seq, fibroblasts) and CKD-PBMC transcriptomic data",not_applicable,irrelevant,,abstract_search
PMID:38076912,38076912,10.1101/2023.11.29.568318,PMC10705437,A&#x3b2; Amyloid Scaffolds the Accumulation of Matrisome and Additional Proteins in Alzheimer's Disease.,2023,bioRxiv,Preprint; Journal Article,cardiac_ptn_tissue_or_model,"PTN co-accumulation with TTR amyloid in heart tissue, mouse/human brain overexpression; not plasma",not_applicable,irrelevant,,abstract_search
PMID:36402194,36402194,10.1016/j.neuro.2022.11.008,,Receptor protein tyrosine phosphatase &#x3b2;/&#x3b6; regulates loss of neurogenesis in the mouse hippocampus following adolescent acute ethanol exposure.,2022,Neurotoxicology,"Journal Article; Research Support, Non-U.S. Gov't",cardiac_ptn_tissue_or_model,PTN upregulation in mouse brain (hippocampus/cerebral) tissue; no cardiac tissue or plasma PTN measured,not_applicable,irrelevant,,abstract_search
PMID:30660899,30660899,10.1016/j.advms.2018.08.007,,Pleiotrophin: Analysis of the endothelialisation potential.,2019,Adv Med Sci,Journal Article,cardiac_ptn_tissue_or_model,Pleiotrophin (recombinant treatment) on EA.hy926 human endothelial cell line; no plasma/serum measurement,not_applicable,irrelevant,,abstract_search
PMID:31278493,31278493,10.1007/s12265-019-09896-z,PMC7102897,Application of Proteomics Profiling for Biomarker Discovery in Hypertrophic Cardiomyopathy.,2019,J Cardiovasc Transl Res,"Journal Article; Research Support, Non-U.S. Gov't",cardiac_ptn_tissue_or_model,Pleiotrophin/NEGF1 named in a MAPK-pathway discussion of HCM plasma proteomics; no PTN value reported,not_applicable,irrelevant,Discussion mention only.,fulltext_scan
PMID:27334064,27334064,10.1038/hr.2016.66,,A minimally invasive endovascular rabbit model for experimental induction of progressive myocardial hypertrophy.,2016,Hypertens Res,Journal Article,cardiac_ptn_tissue_or_model,"PTN protein in heart tissue extracts (western blot), rabbit",up_vs_control,irrelevant,,abstract_search
PMID:23481101,23481101,10.1016/j.cyto.2013.02.002,,Pleiotrophin promotes capillary-like sprouting from senescent aortic rings.,2013,Cytokine,Journal Article,cardiac_ptn_tissue_or_model,"Recombinant human PTN applied to rat aortic ring explants ex vivo (angiogenesis assay), not measured in plasma",not_applicable,irrelevant,,abstract_search
PMID:23630585,23630585,10.1371/journal.pone.0061413,PMC3632611,Pleiotrophin gene therapy for peripheral ischemia: evaluation of full-length and truncated gene variants.,2013,PLoS One,"Journal Article; Research Support, N.I.H., Extramural",cardiac_ptn_tissue_or_model,"PTN/T-PTN expression in mouse myoblasts, myocardium, skeletal muscle; secretion assayed in cultured cells",not_applicable,irrelevant,,abstract_search
PMID:19638707,19638707,10.1253/circj.cj-09-0465,,Global gene expression profiling in the failing myocardium.,2009,Circ J,Journal Article; Review,cardiac_ptn_tissue_or_model,"PTN mRNA expression in failing myocardium tissue via microarray, human",up_vs_control,irrelevant,,abstract_search
PMID:19723774,19723774,10.1152/physiolgenomics.00078.2009,PMC2789674,Lack of periostin leads to suppression of Notch1 signaling and calcific aortic valve disease.,2009,Physiol Genomics,"Journal Article; Research Support, N.I.H., Extramural",cardiac_ptn_tissue_or_model,Ptn mRNA/protein expression in mouse embryonic OFT cardiac cushion tissue,up_vs_control,irrelevant,,abstract_search
PMID:17925408,17925408,10.1074/jbc.M703513200,,The pro-angiogenic cytokine pleiotrophin potentiates cardiomyocyte apoptosis through inhibition of endogenous AKT/PKB activity.,2007,J Biol Chem,"Journal Article; Research Support, N.I.H., Extramural",cardiac_ptn_tissue_or_model,"PTN protein/mRNA upregulation in rat infarcted heart tissue, human dilated cardiomyopathy tissue, and cultured rat cardiomyocytes",up_vs_control,irrelevant,,abstract_search
PMID:16614316,16614316,10.1161/01.ATV.0000222017.05085.8e,PMC3579570,Pleiotrophin induces transdifferentiation of monocytes into functional endothelial cells.,2006,Arterioscler Thromb Vasc Biol,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",cardiac_ptn_tissue_or_model,"PTN expression in monocytes/macrophages (cell culture, mouse/human cells); no plasma measurement",not_applicable,irrelevant,,abstract_search
PMID:15451633,15451633,10.1016/j.biomaterials.2004.04.025,,Enhanced neovasculature formation in ischemic myocardium following delivery of pleiotrophin plasmid in a biopolymer.,2005,Biomaterials,"Comparative Study; Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't",cardiac_ptn_tissue_or_model,"PTN plasmid delivered to ischemic myocardium tissue; rat model, not a plasma measurement",not_applicable,irrelevant,,abstract_search
PMID:15949466,15949466,10.1016/j.bbrc.2005.04.174,,Pleiotrophin induces formation of functional neovasculature in vivo.,2005,Biochem Biophys Res Commun,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",cardiac_ptn_tissue_or_model,"PTN plasmid-driven expression in ischemic myocardium tissue, rat (not plasma)",not_applicable,irrelevant,,abstract_search
