gene,verdict,reason,n_pairs,median_paired_diff,p_value,batch_handling,n_tumor,n_normal,frac_tumor,frac_normal,n_dropped_no_shared_plex,n_aliquots_dropped_single_arm_plex,tumor_type,pdc_study_id,blind,in_matrix,miss_tumor,miss_normal,miss_fisher_p,genomewide_percentile,in_panel,fdr,reason_if_untestable
SDC1,TESTABLE,passes pre-spec 2.1,84,-0.7337,7.146928970833558e-12,batch_free,110,84,1.0,1.0,0,0,ccRCC,PDC000127,False,True,0.0,0.0,1.0,11.858287261649554,True,1.6676167598611634e-11,
SDC2,TESTABLE,passes pre-spec 2.1,80,0.002050000000000003,0.7993385621795559,batch_free,105,80,0.9545454545454546,0.9523809523809523,0,0,ccRCC,PDC000127,False,True,0.045454545454545456,0.047619047619047616,1.0,44.89450524653052,True,0.7993385621795559,
SDC3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,ccRCC,PDC000127,False,False,,,,,True,,gene absent from study quantDataMatrix gene index
SDC4,TESTABLE,passes pre-spec 2.1,84,-0.9108,2.7755300144835506e-14,batch_free,110,84,1.0,1.0,0,0,ccRCC,PDC000127,False,True,0.0,0.0,1.0,8.653954642897439,True,1.9428710101384854e-13,
NCL,TESTABLE,passes pre-spec 2.1,84,0.3391,1.0278593352029225e-12,batch_free,110,84,1.0,1.0,0,0,ccRCC,PDC000127,False,True,0.0,0.0,1.0,80.7740042874873,True,3.5975076732102287e-12,
ITGAV,TESTABLE,passes pre-spec 2.1,84,0.07789999999999997,0.30082384055318145,batch_free,110,84,1.0,1.0,0,0,ccRCC,PDC000127,False,True,0.0,0.0,1.0,54.20286584677874,True,0.35096114731204503,
PTPRZ1,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,ccRCC,PDC000127,False,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR2,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,ccRCC,PDC000127,False,False,,,,,True,,gene absent from study quantDataMatrix gene index
NPR3,UNTESTABLE,gene absent from study quantDataMatrix gene index,0,,,none,0,0,,,0,0,ccRCC,PDC000127,False,False,,,,,True,,gene absent from study quantDataMatrix gene index
PTN,TESTABLE,passes pre-spec 2.1,74,-1.5180500000000001,5.226138236651503e-11,batch_free,81,76,0.7363636363636363,0.9047619047619048,0,0,ccRCC,PDC000127,False,True,0.2636363636363636,0.09523809523809523,0.003123250615451413,2.5724923840685996,False,1.2194322552186842e-10,
SDC1,TESTABLE,passes pre-spec 2.1,13,0.045200000000000004,0.375732421875,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,60.68687885268587,True,0.4222634621346363,
SDC2,TESTABLE,passes pre-spec 2.1,13,0.3133,0.2734375,batch_free,85,23,1.0,1.0,0,0,OV,PDC000110,True,True,0.0,0.0,1.0,80.94099886778211,True,0.3190104166666667,
