gene_a,gene_b,spearman_rho,p_value
SDC1,SDC4,0.692102,2.3e-05
SDC4,ITGAV,0.42158,0.020324
NCL,PTPRZ1,0.246719,0.188732
SDC1,ITGAV,0.166185,0.380118
SDC3,PTPRZ1,0.157731,0.405157
SDC2,SDC3,0.143938,0.447946
ITGAV,PTPRZ1,0.137264,0.469488
SDC2,ITGAV,0.095884,0.614242
SDC2,SDC4,0.08832,0.642573
SDC1,NCL,0.054505,0.774829
SDC3,ITGAV,-0.09366,0.62252
SDC3,NCL,-0.094994,0.617548
SDC1,PTPRZ1,-0.095439,0.615894
SDC1,SDC2,-0.293882,0.114957
SDC4,NCL,-0.324138,0.080556
SDC2,PTPRZ1,-0.414016,0.022939
SDC4,PTPRZ1,-0.459399,0.010653
NCL,ITGAV,-0.478977,0.00741
SDC2,NCL,-0.533259,0.002411
SDC3,SDC4,-0.631591,0.000182
SDC1,SDC3,-0.695662,2e-05
