permutation,total_pairs_primary,total_pairs_sens_incl_observed,total_pairs_sens_with_replacement,drawn_set_primary
1,25,23,24,LRP1|ACVR1B|TNFRSF1A|CD44|ITGB1|ITGB4|SORT1
2,40,21,26,ERBB3|ACVR1B|ITGB4|ITGB5|ITGA6|ITGB1|CD44
3,26,27,30,TNFRSF1A|TGFBR1|CD44|ITGA6|IGF2R|SORT1|ERBB2
4,47,23,28,ITGA6|PLXNA1|ERBB3|ITGB4|ITGB1|ERBB2|ITGB5
5,31,22,33,ITGA6|NRP1|ITGB4|IGF2R|ITGB5|ERBB2|TNFRSF1A
6,24,25,24,LRP1|FGFR1|TNFRSF1A|ITGB4|IGF2R|ERBB3|SORT1
7,29,31,29,ERBB3|TGFBR1|LRP1|ITGB1|ERBB2|CD44|ITGB5
8,34,44,37,ERBB2|PDGFRB|ITGA6|CD44|IGF2R|ITGB4|SORT1
9,28,32,16,LRP1|LRP5|TNFRSF1A|ITGB4|ITGA6|ITGB5|ERBB2
10,21,31,41,ITGB1|NRP1|SORT1|ITGB5|LRP1|IGF2R|ERBB3
11,25,36,22,ITGB1|TGFBR2|ITGB5|ITGA6|LRP1|SORT1|ERBB3
12,18,24,29,SORT1|NRP2|ITGB5|IGF2R|CD44|LRP1|TNFRSF1A
13,33,26,35,ITGB1|FGFR1|ERBB2|ERBB3|ITGA6|CD44|SORT1
14,32,30,22,SORT1|NRP1|ITGB4|ITGA6|ERBB2|LRP1|CD44
15,31,27,23,ITGB4|TGFBR1|CD44|ITGB1|SORT1|ITGA6|TNFRSF1A
16,28,36,23,IGF2R|NRP1|SORT1|LRP1|ERBB2|ITGB4|ERBB3
17,34,36,27,ITGB4|NRP2|IGF2R|ERBB2|CD44|ITGA6|TNFRSF1A
18,25,28,23,CD44|TGFBR2|LRP1|ERBB3|ITGB1|TNFRSF1A|ITGB5
19,40,34,49,LRP1|PLXNA1|ITGA6|ITGB4|ITGB1|ITGB5|CD44
20,17,34,22,SORT1|LRP5|LRP1|ERBB2|CD44|IGF2R|ITGB1
21,33,20,29,ITGB5|FGFR1|ERBB3|TNFRSF1A|LRP1|ITGB4|ITGA6
22,32,33,28,ERBB2|PLXNA1|SORT1|TNFRSF1A|ITGB5|IGF2R|ITGB4
23,27,25,28,SORT1|LRP5|TNFRSF1A|IGF2R|ITGA6|CD44|ITGB4
24,32,35,37,IGF2R|TNFRSF12A|CD44|SORT1|ITGB5|ITGA6|TNFRSF1A
25,30,30,37,ITGB4|TGFBR1|LRP1|ERBB3|IGF2R|SORT1|ITGA6
26,24,31,25,ITGB5|NRP1|CD44|TNFRSF1A|ERBB2|ITGB1|SORT1
27,32,30,27,LRP1|NRP1|TNFRSF1A|CD44|ITGB5|ITGA6|ITGB4
28,37,33,33,ITGA6|ACVR1B|ERBB3|ERBB2|ITGB4|IGF2R|ITGB5
29,20,26,18,SORT1|ACVR1B|LRP1|TNFRSF1A|ITGA6|ITGB5|IGF2R
30,30,21,18,TNFRSF1A|PLXNA1|SORT1|ERBB2|LRP1|ITGB4|IGF2R
31,25,19,21,TNFRSF1A|IGF1R|SORT1|ITGA6|CD44|LRP1|ITGB1
32,35,35,41,ITGA6|NRP1|ERBB2|ERBB3|CD44|IGF2R|ITGB1
33,26,25,33,SORT1|NTRK2|TNFRSF1A|ERBB3|ITGB5|ITGB4|LRP1
34,28,33,40,ERBB3|TGFBR1|IGF2R|LRP1|CD44|SORT1|ITGA6
35,23,30,28,ITGB5|NRP1|CD44|SORT1|LRP1|IGF2R|ITGB4
36,22,25,22,ITGB1|FLT1|TNFRSF1A|IGF2R|SORT1|ITGA6|ITGB5
37,25,37,37,CD44|NTRK2|SORT1|ITGA6|ERBB2|LRP1|ITGB1
38,21,32,26,ERBB2|TGFBR1|ITGB5|CD44|LRP1|SORT1|ITGB1
39,33,25,18,CD44|FGFR1|ITGB1|ITGA6|TNFRSF1A|ERBB3|ITGB5
40,34,36,26,ERBB3|PDGFRB|ITGB1|ITGA6|SORT1|TNFRSF1A|ERBB2
41,32,34,35,SORT1|FLT1|ERBB3|TNFRSF1A|ERBB2|ITGB4|ITGB5
42,35,38,27,ITGA6|NRP2|ITGB1|ERBB2|CD44|LRP1|ERBB3
43,27,21,35,ITGB4|NRP1|ITGB5|ITGA6|LRP1|ITGB1|SORT1
44,22,31,32,LRP1|BMPR2|ITGB5|ITGB1|ERBB2|IGF2R|ERBB3
45,20,27,26,SORT1|ACVR1B|ITGA6|IGF2R|ITGB5|LRP1|TNFRSF1A
46,24,28,29,TNFRSF1A|FGFR1|LRP1|SORT1|ITGB5|CD44|ERBB3
47,33,24,30,CD44|FGFR1|TNFRSF1A|ERBB3|ERBB2|ITGB4|SORT1
48,20,21,20,ITGB4|IGF1R|LRP1|ITGB5|ITGB1|IGF2R|SORT1
