receptor,n_types_enriched_and_floor,n_types_evaluable,n_types_floor_pass,passes_ge1_type,mean_expr_rsem_across_types,expression_decile,is_PTN_receptor,pct_of_receptors_at_or_below
PLXNA3,13,15,29,True,1036.17,7,False,100.0
PLXNA1,11,15,30,True,2282.56,8,False,98.77
TNFRSF12A,10,15,25,True,1466.29,8,False,97.53
ERBB3,9,15,25,True,3359.37,9,False,96.3
ITGA6,8,15,29,True,3815.27,9,False,93.83
F2R,8,15,28,True,966.27,7,False,93.83
ITGB4,8,15,25,True,4409.22,9,False,93.83
SDC1,6,15,27,True,7040.59,9,True,90.74
CD44,6,15,30,True,9159.78,9,False,90.74
ERBB2,5,15,28,True,3739.15,9,False,86.42
ITGAV,5,15,30,True,3173.51,9,True,86.42
NCL,5,15,30,True,12918.31,9,True,86.42
PDGFRB,5,15,30,True,2173.22,8,False,86.42
FZD6,5,15,24,True,884.0,7,False,86.42
CD4,4,15,29,True,936.35,7,False,80.25
SDC4,4,15,30,True,6529.86,9,True,80.25
ACVR1,4,15,30,True,898.93,7,False,80.25
F2RL1,4,15,18,True,664.11,7,False,80.25
SDC3,4,15,30,True,3597.42,9,True,80.25
FLT1,3,15,28,True,1235.81,8,False,69.14
IGF1R,3,15,29,True,1947.21,8,False,69.14
FGFR4,3,15,11,True,867.71,7,False,69.14
FZD5,3,15,19,True,638.06,7,False,69.14
NRP2,3,15,27,True,1272.73,8,False,69.14
PTPRC,3,15,17,True,504.17,6,False,69.14
NRP1,3,15,29,True,1972.22,8,False,69.14
ITGB1,3,15,30,True,10071.14,9,False,69.14
ITGB5,3,15,30,True,3252.22,9,False,69.14
AXL,3,15,26,True,902.17,7,False,69.14
TNFRSF1A,3,15,30,True,2851.98,9,False,69.14
TNFRSF1B,3,15,29,True,921.89,7,False,69.14
ACVR1B,3,15,30,True,1349.68,8,False,69.14
ITGA4,2,15,5,True,244.22,5,False,53.09
IL17RB,2,15,8,True,229.3,5,False,53.09
MERTK,2,15,12,True,386.86,6,False,53.09
HAVCR2,2,15,7,True,303.8,6,False,53.09
TYRO3,2,15,16,True,663.73,7,False,53.09
FGFR3,2,15,19,True,1019.9,7,False,53.09
FZD4,2,15,23,True,864.39,7,False,53.09
FZD1,2,15,21,True,1012.0,7,False,53.09
PLXNA2,2,15,28,True,996.67,7,False,53.09
PTPRZ1,2,15,6,True,2375.79,9,True,53.09
EGFR,2,15,21,True,920.52,7,False,53.09
BMPR1B,2,15,7,True,370.93,6,False,53.09
TGFBR1,2,15,30,True,1381.32,8,False,53.09
NTRK2,1,15,8,True,2088.93,8,False,35.8
PARD3,1,15,29,True,905.11,7,False,35.8
LRP1,1,15,30,True,8032.08,9,False,35.8
SDC2,1,15,28,True,2229.19,8,True,35.8
SORT1,1,15,30,True,2930.22,9,False,35.8
LRP6,1,15,30,True,900.62,7,False,35.8
IGF2R,1,15,30,True,3589.23,9,False,35.8
FGFR1,1,15,29,True,2099.99,8,False,35.8
FZD8,1,15,4,True,220.77,5,False,35.8
CX3CR1,1,15,3,True,133.59,4,False,35.8
FZD10,1,15,1,True,82.55,4,False,35.8
FZD2,1,15,3,True,171.13,5,False,35.8
F2RL2,1,15,2,True,81.33,4,False,35.8
FZD7,1,15,19,True,486.51,6,False,35.8
F2RL3,1,15,2,True,93.72,4,False,35.8
BMPR1A,0,15,26,False,505.26,6,False,13.58
TGFBR2,0,15,30,False,2181.2,8,False,13.58
BMPR2,0,15,30,False,1931.63,8,False,13.58
CCR1,0,15,1,False,160.5,5,False,13.58
AGTR1,0,15,2,False,78.74,4,False,13.58
ACVR2B,0,15,8,False,342.75,6,False,13.58
CCR5,0,15,1,False,111.62,4,False,13.58
ACVR2A,0,15,7,False,321.59,6,False,13.58
ERBB4,0,15,4,False,115.73,4,False,13.58
LRP5,0,15,30,False,1918.36,8,False,13.58
PLXNA4,0,15,5,False,165.07,5,False,13.58
LIFR,0,15,18,False,816.93,7,False,13.58
FGFR2,0,15,24,False,788.29,7,False,13.58
FZD3,0,15,1,False,141.64,4,False,13.58
NTRK3,0,15,2,False,96.28,4,False,13.58
NTRK1,0,15,1,False,68.73,4,False,13.58
FZD9,0,15,1,False,39.43,3,False,13.58
NPR1,0,15,6,False,440.53,6,False,13.58
IL6ST,0,15,20,False,609.99,7,False,13.58
ITGB3,0,15,5,False,242.22,5,False,13.58
ACKR1,0,0,2,False,134.62,4,False,13.58
