receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
ACKR1,ACC,Adrenal_Gland,47.43,67.3,-19.87,1.52,-21.39,depleted,25.67,7.5157,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ACVR1,ACC,Adrenal_Gland,74.91,70.27,4.64,1.52,3.12,comparable,434.44,9.4633,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
ACVR1B,ACC,Adrenal_Gland,86.0,69.83,16.17,1.52,14.65,enriched,1214.63,9.2694,True,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
ACVR2A,ACC,Adrenal_Gland,66.35,56.64,9.72,1.52,8.19,comparable,230.92,3.2623,False,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
ACVR2B,ACC,Adrenal_Gland,71.94,60.77,11.17,1.52,9.64,comparable,359.58,4.8029,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
AGTR1,ACC,Adrenal_Gland,77.3,86.87,-9.57,1.52,-11.09,depleted,605.61,33.7001,True,good,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,depleted (GTEx rank only),depleted
AXL,ACC,Adrenal_Gland,67.51,80.35,-12.84,1.52,-14.36,depleted,257.63,20.1958,False,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
BMPR1A,ACC,Adrenal_Gland,74.55,60.41,14.14,1.52,12.62,enriched,425.11,4.6956,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,enriched (GTEx rank only),enriched
BMPR1B,ACC,Adrenal_Gland,54.89,44.74,10.15,1.52,8.63,comparable,67.43,1.0428,False,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,comparable (GTEx rank only),comparable
BMPR2,ACC,Adrenal_Gland,89.05,81.36,7.69,1.52,6.16,comparable,1596.61,21.8752,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,,,,,,,,comparable (GTEx rank only),comparable
CCR1,ACC,Adrenal_Gland,50.98,62.51,-11.53,1.52,-13.05,depleted,41.12,5.464,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
