ref_key,pmid,authors,n_authors,title,journal,year,volume,issue,pages,doi,verified,verification_basis,title_similarity,source,status,methods_role
__CRITERION__,,,,PRE-REGISTERED VERIFICATION CRITERION (fixed before any record was fetched),,,,,,,n/a,"V1: token-set F1 between fetched title and pre-registered expected title, after lowercasing, stripping punctuation and removing a fixed stopword list, must be >= 0.60 | V2: fetched publication year must equal expected year, tolerance +/-1 (epub vs print) | V3: fetched first-author surname must equal expected surname (case-insensitive, diacritics folded), OR expected surname is declared 'CONSORTIUM' and the record has no personal first author | VERDICT: verified=TRUE only if V1 AND V2 AND V3 all pass; otherwise UNRESOLVED",,"expected title/year/author are the SEARCH TARGET (the work the manuscript intends to cite). They are never copied into output bibliographic fields. Every output field (authors, journal, volume, issue, pages, DOI, year, title) is taken verbatim from the fetched record.",criterion,applies to every row below
gse1869_kittleson2005,15557369,Kittleson MM; Ye SQ; Irizarry RA; Minhas KM; Edness G; Conte JV; Parmigiani G; Miller LW; Chen Y; Hall JL; Garcia JG; Hare JM,12,Identification of a gene expression profile that differentiates between ischemic and nonischemic cardiomyopathy,Circulation,2004,110,22,3444-51,10.1161/01.CIR.0000148178.19465.11,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2004 vs expected 2005 (PASS); first author 'kittleson' vs expected 'Kittleson' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.11 GSE1869 cohort paper
gse134692_sivakumar2019,31423451,Sivakumar P; Thompson JR; Ammar R; Porteous M; Mccoubrey C; Cantu E; Ravi K; Zhang Y; Luo Y; Streltsov D; Beers MF; Jarai G; Christie JD,13,RNA sequencing of transplant-stage idiopathic pulmonary fibrosis lung reveals unique pathway regulation,ERJ Open Res,2019,5,3,,10.1183/23120541.00117-2019,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2019 vs expected 2019 (PASS); first author 'sivakumar' vs expected 'Sivakumar' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.8 T2 / 3.9 GSE134692 lung IPF cohort
gse126848_suppli2019,30653341,Suppli MP; Rigbolt KTG; Veidal SS; Heebll S; Eriksen PL; Demant M; Bagger JI; Nielsen JC; Oro D; Thrane SW; Lund A; Strandberg C; Knig MJ; Vilsbll T; Vrang N; Thomsen KL; Grnbk H; Jelsing J; Hansen HH; Knop FK,20,Hepatic transcriptome signatures in patients with varying degrees of nonalcoholic fatty liver disease compared with healthy normal-weight individuals,Am J Physiol Gastrointest Liver Physiol,2019,316,4,G462-G472,10.1152/ajpgi.00358.2018,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2019 vs expected 2019 (PASS); first author 'suppli' vs expected 'Suppli' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.8 T2 / 3.9 GSE126848 liver NAFLD cohort
gse130970_hoang2019,31467298,Hoang SA; Oseini A; Feaver RE; Cole BK; Asgharpour A; Vincent R; Siddiqui M; Lawson MJ; Day NC; Taylor JM; Wamhoff BR; Mirshahi F; Contos MJ; Idowu M; Sanyal AJ,15,Gene Expression Predicts Histological Severity and Reveals Distinct Molecular Profiles of Nonalcoholic Fatty Liver Disease,Sci Rep,2019,9,1,12541,10.1038/s41598-019-48746-5,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2019 vs expected 2019 (PASS); first author 'hoang' vs expected 'Hoang' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.8 T2 / 3.9 GSE130970 liver NASH cohort
gse142025_fan2019,31578193,Fan Y; Yi Z; D'agati VD; Sun Z; Zhong F; Zhang W; Wen J; Zhou T; Li Z; He L; Zhang Q; Lee K; He JC; Wang N,14,Comparison of Kidney Transcriptomic Profiles of Early and Advanced Diabetic Nephropathy Reveals Potential New Mechanisms for Disease Progression,Diabetes,2019,68,12,2301-2314,10.2337/db19-0204,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2019 vs expected 2019 (PASS); first author 'fan' vs expected 'Fan' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.8 T2 / 3.9 GSE142025 diabetic nephropathy cohort
tcga_cdr_liu2018,29625055,Liu J; Lichtenberg T; Hoadley KA; Poisson LM; Lazar AJ; Cherniack AD; Kovatich AJ; Benz CC; Levine DA; Lee AV; Omberg L; Wolf DM; Shriver CD; Thorsson V; Hu H,15,An Integrated TCGA Pan-Cancer Clinical Data Resource to Drive High-Quality Survival Outcome Analytics,Cell,2018,173,2,400-416.e11,10.1016/j.cell.2018.02.052,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2018 vs expected 2018 (PASS); first author 'liu' vs expected 'Liu' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 2.8 TCGA-CDR clinical endpoints for Cox models
absolute_carter2012,22544022,Carter SL; Cibulskis K; Helman E; Mckenna A; Shen H; Zack T; Laird PW; Onofrio RC; Winckler W; Weir BA; Beroukhim R; Pellman D; Levine DA; Lander ES; Meyerson M; Getz G,16,Absolute quantification of somatic DNA alterations in human cancer,Nat Biotechnol,2012,30,5,413-21,10.1038/nbt.2203,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2012 vs expected 2012 (PASS); first author 'carter' vs expected 'Carter' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.10 ABSOLUTE purity and ploidy
rsem_li2011,21816040,Li B; Dewey CN,2,RSEM: accurate transcript quantification from RNA-Seq data with or without a reference genome,BMC Bioinformatics,2011,12,,323,10.1186/1471-2105-12-323,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2011 vs expected 2011 (PASS); first author 'li' vs expected 'Li' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.3 RSEM normalized_count units of the PanCanAtlas matrix
gse5406_hannenhalli2006,16952980,Hannenhalli S; Putt ME; Gilmore JM; Wang J; Parmacek MS; Epstein JA; Morrisey EE; Margulies KB; Cappola TP,9,Transcriptional genomics associates FOX transcription factors with human heart failure,Circulation,2006,114,12,1269-76,10.1161/CIRCULATIONAHA.106.632430,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2006 vs expected 2006 (PASS); first author 'hannenhalli' vs expected 'Hannenhalli' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.11 GSE5406 cohort paper
numpy_harris2020,32939066,Harris CR; Millman KJ; Van Der Walt SJ; Gommers R; Virtanen P; Cournapeau D; Wieser E; Taylor J; Berg S; Smith NJ; Kern R; Picus M; Hoyer S; Van Kerkwijk MH; Brett M; Haldane A; Del Rio JF; Wiebe M; Peterson P; Gerard-Marchant P; Sheppard K; Reddy T; Weckesser W; Abbasi H; Gohlke C; Oliphant TE,26,Array programming with NumPy,Nature,2020,585,7825,357-362,10.1038/s41586-020-2649-2,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2020 vs expected 2020 (PASS); first author 'harris' vs expected 'Harris' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.10 software
pdc_lindgren2021,33560848,Lindgren CM; Adams DW; Kimball B; Boekweg H; Tayler S; Pugh SL; Payne SH,7,Simplified and Unified Access to Cancer Proteogenomic Data,J Proteome Res,2021,20,4,1902-1910,10.1021/acs.jproteome.0c00919,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2021 vs expected 2021 (PASS); first author 'lindgren' vs expected 'Lindgren' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 Proteomic Data Commons (peer-reviewed PDC resource paper)
