gene,matched_family,matched_pattern,hpa_supports_extracellular,hpa_protein_class,hpa_secretome_location,excluded,reason
ACAN,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
AGRN,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
BGN,proteoglycan_structural,^(AGRN|HSPG2|BGN|DCN|LUM|VCAN|ACAN|OGN|PRELP|FMOD)$,True,"Disease related genes, Human disease related genes, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family proteoglycan_structural + HPA extracellular support
CHAD,matrilin_cartilage,^(MATN\d+|COMP|CHAD|EPYC)$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family matrilin_cartilage + HPA extracellular support
COL10A1,collagen,^COL\d+[A-Z]\d*$,True,"Disease related genes, Human disease related genes, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL11A1,collagen,^COL\d+[A-Z]\d*$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL11A2,collagen,^COL\d+[A-Z]\d*$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL12A1,collagen,^COL\d+[A-Z]\d*$,True,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL13A1,collagen,^COL\d+[A-Z]\d*$,False,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",,False,family collagen matched but HPA gives no secreted/ECM support; kept
COL14A1,collagen,^COL\d+[A-Z]\d*$,True,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
