gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,UCEC,UCS,UVM
ACTA2,2274.1500,3761.4150,5994.9500,1506.1300,4142.8500,2913.8130,2917.1903,1478.2150,1548.0100,1743.5600,9421.2300,1323.1000,459.3335,2923.3700,3887.5300,3045.4700,5244.0600,2423.3697,12140.3500,3750.2900,18147.1000,3523.5646,9319.9500,1567.5600,5382.7075,1801.8850,2414.3700,2269.8818,2294.2300,2094.9850
ACTB,76914.4000,111085.0000,91635.2000,106187.0000,92767.5500,104629.3372,108412.0707,129799.0000,135040.5000,79977.0000,78843.2000,93378.9500,72442.1500,69372.1000,112608.0000,104814.0000,119572.0000,83701.7405,119976.0000,50229.3000,61388.2000,100635.5662,150326.0000,110994.0000,115345.2761,118291.5000,65159.2000,100989.5386,83768.9000,68015.3000
ACVR1,434.4360,545.0585,869.0850,640.0420,1271.1150,512.9695,990.1364,694.3085,975.5390,825.6605,917.8900,998.3605,605.9715,608.6140,1045.8800,1074.8000,1188.6400,941.7662,1264.2750,1004.5900,631.9440,517.7645,1321.1400,888.8290,854.4913,826.4655,2512.0700,695.1238,835.4020,475.6390
ACVR1B,1214.6300,966.8905,1228.3100,1172.4500,1364.2050,1631.3950,1319.7812,879.8595,1143.5350,2684.2850,1538.9500,1901.2750,1088.6500,1221.9900,1326.4000,1263.5900,747.7550,1374.8850,1532.9450,2332.6500,1372.4700,1878.9931,507.6040,704.2960,1440.3092,2851.5100,734.1510,1142.2932,1086.3100,838.0390
ACVR1C,6.2714,27.4483,18.3520,46.8750,9.7846,103.8885,123.9693,14.9750,83.9160,86.4038,6.0423,3.6392,56.6091,26.3058,19.4489,111.8780,4.9219,14.9015,37.2675,85.0397,10.8707,90.6945,8.3141,30.9350,66.5843,25.5968,22.2952,11.6756,18.5102,21.4956
ACVR2A,230.9160,379.5700,295.9640,284.7810,345.9320,273.3108,348.6387,278.8835,238.5375,235.8845,343.9190,339.2270,338.3445,260.4050,277.6230,321.5990,298.8500,321.3568,452.1465,446.6130,455.5840,281.3201,316.4190,225.2560,325.0580,336.0915,336.0800,266.6016,604.3690,188.5580
ACVR2B,359.5840,310.2520,358.9880,203.7300,147.9560,244.5554,246.6280,221.2755,152.4635,192.7505,290.7860,349.9950,683.4975,202.4190,280.4880,242.0640,177.8320,412.7594,205.9230,539.1840,313.4330,306.1510,165.4520,328.8390,224.5128,1629.4800,331.7970,341.0675,628.2180,190.5425
ACVRL1,327.1680,316.3760,414.5260,201.2030,371.6260,1033.4278,273.3359,452.0460,291.2470,383.7300,1583.4900,349.9785,254.1895,322.8010,578.5540,397.3870,345.4960,229.7984,817.2750,893.4810,250.6300,1211.3950,1044.5800,281.8560,562.6472,361.8365,609.6110,333.0567,496.3090,305.3645
ADCYAP1,1.3435,5.9097,7.6254,2.0730,2.7409,8.1930,5.8738,23.1122,7.3935,103.4725,13.1300,7.0624,12.1199,1.8229,8.6075,9.5569,642.8030,2.0052,133.8310,76.2278,5.2368,12.8030,11.0372,2.7088,9.7604,4.1281,1.6297,0.9658,7.0242,0.3580
ADCYAP1R1,0.0000,0.0000,1.2111,0.0000,0.0000,0.0000,-0.5875,476.0975,0.9899,0.3307,0.0000,0.0000,1733.7400,0.0000,0.3329,0.4192,0.4630,5.5174,1.2377,113.7440,0.4890,0.0000,3.0771,0.0000,-0.5875,5.8154,1.2293,5.8804,3.7762,0.0000
ADIPOQ,0.0000,0.0000,133.7560,0.0000,0.0000,0.0000,0.0434,0.0000,0.0000,0.0000,0.0000,0.0000,0.2980,0.0000,0.0000,0.0000,0.3905,0.5996,3.6426,0.0000,0.0000,0.0000,0.0000,0.0000,0.4334,0.8612,0.0000,0.0000,0.0000,0.0000
