tumor_type,leukocyte_fraction,tumor_purity,ploidy,Angiogenesis,LIexpression_score,Chemokine12_score,CD68,CD8A,Bcell_receptors_score,STAT1_score,IFNG_score_21050467,TGFB_score_21050467,Tcell_receptors_score,Troester_WoundSig_19887484,TGFB_PCA_17349583,TAMsurr_score,Module11_Prolif_score,CD8_CD68_ratio,CHANG_CORE_SERUM_RESPONSE_UP,CSR_Activated_15701700,LYM,ICR_SCORE,Lymph vessels,Macrophages,Mast cells,Neutrophils,T cells,stromal_fraction,n_samples
ACC,0.0557399,0.85,2.02,0.174467,-1.9699,-2.0016,-1.115,-1.8585,-1.1928,-1.0211,-0.27315,-0.7192,-2.41075,-0.50965,-0.9446,-1.0347,-0.57835,-0.16715,-0.124,-0.05735,6.36709,3.78356,-0.0772216,0.0779642,-0.072421,-0.0456405,-0.147546,0.0563253,79
BLCA,0.197892,0.61,2.98,0.0839739,-0.3531,-0.0458,-0.26,-0.431,-0.4297,-0.192,0.0677,0.0705,-0.3038,0.1437,0.3095,0.1398,0.5382,0.0921,0.1805,0.1735,7.53702,5.89007,0.000969636,0.116771,-0.0665624,-0.0235968,-0.0803799,0.150473,408
BRCA,0.181099,0.59,2.16,0.149622,0.109,0.2585,-0.103,0.192,0.1119,0.1017,-0.0404,0.299,0.1165,0.3151,0.8105,0.2601,0.1448,0.2686,0.0095,-0.0205,8.65392,6.05398,-0.0313112,0.15289,-0.0309662,-0.027204,-0.0528139,0.190114,1097
CESC,0.205993,0.67,2.11,0.0106635,0.24905,0.49165,-0.054,0.51,-0.20505,0.2968,0.2644,-0.0698,0.4705,0.3905,-0.2679,0.6893,0.95815,0.35555,0.29725,0.23855,8.23134,7.31475,-0.0671152,0.105545,-0.0951961,-0.0442241,-0.0427507,0.0920339,304
CHOL,0.117392,0.745,1.91,0.121937,-0.5299,-0.2577,-0.176,-0.399,-0.5013,-0.0669,0.0471,-0.0549,-0.0665,-0.0182,0.394,-0.3622,-0.4023,0.031,-0.1,-0.0504,7.86305,5.74062,-0.117763,0.0910014,-0.075059,-0.0248963,-0.0813079,0.133269,36
COAD,0.163076,0.66,2.18,0.0326773,-0.0164,-0.0168,-0.02,-0.298,-0.3221,-0.0809,0.0528,0.0136,-0.0798,0.137,0.0707,0.2056,0.6755,-0.1868,0.237,0.2348,7.835,6.04405,-0.11927,0.0620939,-0.0962724,-0.088814,-0.0940549,0.155343,452
ESCA,0.210012,0.61,2.57,0.0217727,-0.2523,-0.0856,0.071,-0.466,-0.4117,0.0257,0.1387,0.2507,-0.063,0.6822,0.1998,0.2764,0.8073,-0.1942,0.174,0.1553,7.82944,6.06279,-0.0845837,0.0597717,-0.113514,-0.0886618,-0.139725,0.177016,184
GBM,0.137793,0.8,1.99,0.172079,-1.5011,-1.26935,0.3665,-1.1215,-0.5248,-0.16245,-0.10565,-0.13585,-1.4645,0.07235,-0.1505,-0.5211,0.1433,-0.98795,0.06025,0.027,9.06652,4.60735,0.0552251,0.201258,-0.0855405,-0.0237292,-0.109197,0.0563496,154
HNSC,0.293707,0.49,2.11,0.065871,0.2596,0.84125,0.259,0.21,-0.0884,0.306,0.3655,0.4581,0.4402,0.82785,0.647,0.8244,0.64205,-0.0702,0.20425,0.19155,8.22994,7.18521,0.106289,0.129173,-0.0804827,-0.00280346,-0.0322578,0.189852,520
KICH,0.0776395,0.855,1.635,0.197017,-1.3386,-1.0937,-1.256,-1.572,-0.7239,-0.7334,-0.457,-0.6899,-1.412,-0.5884,-1.0737,-0.4786,-1.7711,0.1044,-0.3985,-0.1926,6.98205,4.96765,-0.0834841,0.0909881,-0.0469442,-0.0245415,-0.0770786,0.0577281,66
KIRC,0.223348,0.56,2,0.340394,0.594,0.2398,0.964,1.186,0.4706,0.5387,0.175,0.1497,1.011,-0.0243,0.3453,0.1988,-1.1359,-0.0559,-0.2305,-0.1251,9.5717,7.18949,-0.0991961,0.153932,-0.0476977,0.0893232,0.027102,0.200985,533
KIRP,0.176194,0.77,2.14,0.0518125,-0.5178,-0.9898,0.872,-0.364,-0.0449,-0.1303,-0.1554,-0.3067,-0.3982,-0.4273,-0.9047,-1.2587,-1.5909,-0.954,-0.186,-0.1106,8.45619,5.15974,-0.127188,0.132581,-0.0470669,0.0241057,-0.0623371,0.0502974,290
LGG,0.082722,0.75,2.01,0.138296,-2.284,-2.0884,-0.529,-2.052,-0.9994,-0.9878,-0.61585,-0.9439,-2.6614,-0.292,-1.8711,-1.67925,-1.25205,-0.9385,-0.292,-0.2669,7.90842,3.08783,-0.150985,0.12047,-0.0827124,-0.062281,-0.12845,0.139307,516
LIHC,0.158121,0.72,2.14,0.146543,-0.3861,-0.3484,0.0065,-0.6255,-0.6494,-0.2065,-0.1042,-0.6765,-0.30965,-0.4269,-0.22795,-0.41335,-0.5157,-0.3244,-0.119,-0.0443,7.88106,5.5832,-0.120248,0.107023,-0.0993867,0.00105332,-0.0612791,0.0976147,371
LUAD,0.296086,0.45,2.75,0.144391,1.0257,1.0179,0.56,0.642,0.8211,0.5837,0.1992,0.1742,0.8535,0.5396,0.4977,0.66,-0.1187,-0.0443,-0.027,-0.0954,9.456,7.11796,-0.0122395,0.224062,-0.00869428,0.0203148,-0.0140998,0.238417,515
LUSC,0.300829,0.5,2.71,0.07081,0.73575,0.9605,0.3855,0.4965,0.5389,0.26005,0.2155,0.3722,0.46485,0.8342,0.53455,0.6232,0.7031,0.01495,0.2375,0.12925,8.7591,6.9834,0.0410825,0.182,-0.0578512,-0.0017887,-0.0412905,0.197821,502
MESO,0.238996,0.64,1.94,0.105738,0.3529,0.4603,0.303,0.501,0.1544,0.3165,0.2529,0.5256,0.3525,0.3892,1.0078,0.1166,-0.1788,-0.0035,0.0505,-0.021,9.29173,6.65979,0.109538,0.206859,-0.0364864,-0.00493181,-0.0560438,0.123028,87
OV,0.097269,0.81,2.82,-0.028447,-0.4449,-0.0482,-0.149,-0.348,-0.0093,0.1115,0.251,-0.0707,-0.5075,0.0336,-0.0834,0.7655,0.5931,0.0195,0.219,0.1609,8.18353,5.7502,-0.142647,0.092782,-0.117567,-0.123416,-0.146378,0.100137,304
PAAD,0.300205,0.4,2,0.175979,0.4541,0.3512,0.612,0.317,0.4393,0.3746,0.2153,0.6885,0.4442,0.9514,1.2321,0.0168,-0.4488,-0.2187,-0.102,-0.1332,8.93059,6.19289,0.0199987,0.211169,0.0158835,0.00628823,-0.0469952,0.274382,178
PCPG,0.0860956,0.75,1.93,0.240053,-1.30395,-1.4915,-1.0165,-0.925,-0.76755,-0.9651,-0.49165,-0.5866,-1.5754,-0.36825,-0.66275,-1.1757,-1.67695,0.38015,-0.28575,-0.1946,6.87429,4.28661,-0.111148,0.0589496,-0.0125334,-0.0555003,-0.108588,0.133469,179
PRAD,0.0870784,0.61,1.98,0.114361,-0.4636,-0.3578,-1.271,-0.224,-0.4119,-0.5033,-0.2648,-0.2672,-0.4252,0.3462,-0.2405,-0.139,-1.3165,1.0941,-0.1245,-0.1197,7.32016,5.30409,-0.0900381,0.0998055,0.00370199,-0.0340419,-0.0912289,0.274112,497
READ,0.120064,0.69,2.52,0.0466254,-0.0289,-0.1497,-0.1035,-0.5585,-0.3289,-0.169,0.01075,0.03305,-0.19695,0.14855,0.11925,-0.00705,0.65295,-0.2187,0.21675,0.22395,7.59262,5.9117,-0.113741,0.058598,-0.104635,-0.0872858,-0.0962623,0.180525,160
SARC,0.134852,0.78,2.12,0.232056,-0.6556,-0.4195,0.367,-0.327,-0.5293,-0.2183,0.0786,0.4098,-0.5458,0.0611,0.9933,-0.224,0.3563,-0.2484,0,-0.0388,8.5422,5.6888,0.11139,0.176349,-0.0713761,0.0181673,-0.0546121,0.0632102,259
SKCM,0.229057,0.7,2.07,0.0901825,-0.6875,-0.0597,0.298,-0.096,-0.6955,-0.4004,0.1306,0.1185,-0.4878,-0.2566,-0.0317,-0.2688,0.1865,-0.2796,0.0565,0.0433,7.76892,6.05652,-0.0882811,0.112487,-0.057881,-0.0440436,-0.0788102,0.0693141,103
