tumor_type,tumor_name,mean_capacity_z,availability_weighted_capacity,median_capacity_absolute,leukocyte_fraction,stromal_fraction,tumor_purity,Bcell_receptors_score,TGFB_score_21050467,Module11_Prolif_score
UCS,Uterine carcinosarcoma,0.5663458379396262,0.678524317682128,604.369,0.0618683,0.0597834,0.855,-0.5349,0.298,0.7072
OV,Ovarian serous cystadenocarcinoma,0.22970897025269393,0.43228294079272717,426.02115000000003,0.097269,0.100137,0.81,-0.0093,-0.0707,0.5931
KIRC,Kidney renal clear cell carcinoma,0.3975419650918268,0.37658562308283733,511.52049999999997,0.223348,0.200985,0.56,0.4706,0.1497,-1.1359
THCA,Thyroid carcinoma,0.3356104943814073,0.28499790675554715,373.715,0.092004,0.169783,0.68,0.0662,-0.0617,-1.58935
PRAD,Prostate adenocarcinoma,0.22055180403623226,0.27157685908915014,455.584,0.0870784,0.274112,0.61,-0.4119,-0.2672,-1.3165
PAAD,Pancreatic adenocarcinoma,0.29345378286585794,0.24355963076697454,452.1465,0.300205,0.274382,0.4,0.4393,0.6885,-0.4488
TGCT,Testicular germ cell tumors,0.22237318489534735,0.221783616536851,386.12225,0.275,0.151,0.6,0.7623,-0.3304,0.9748
BRCA,Breast invasive carcinoma,0.18683028215102243,0.2006964213885417,358.988,0.181099,0.190114,0.59,0.1119,0.299,0.1448
UCEC,Uterine corpus endometrial carcinoma,0.02999309142944826,0.18411584701585143,354.1483,0.129354,0.0911713,0.76,-0.1763,-0.07815,0.47125
MESO,Mesothelioma,0.025898318200098774,0.14973119397068546,349.8325,0.238996,0.123028,0.64,0.1544,0.5256,-0.1788
LUSC,Lung squamous cell carcinoma,0.09762031288478827,0.14196352540028745,357.952,0.300829,0.197821,0.5,0.5389,0.3722,0.7031
KIRP,Kidney renal papillary cell carcinoma,0.0377745654251041,0.10153952949408619,404.0815,0.176194,0.0502974,0.77,-0.0449,-0.3067,-1.5909
GBM,Glioblastoma multiforme,0.12696009193660326,0.04487602039292382,418.0935,0.137793,0.0563496,0.8,-0.5248,-0.13585,0.1433
ESCA,Esophageal carcinoma,0.04213494556469857,0.03831160345785163,349.06435,0.210012,0.177016,0.61,-0.4117,0.2507,0.8073
LUAD,Lung adenocarcinoma,0.026311895687135017,0.03451653743260467,327.93,0.296086,0.238417,0.45,0.8211,0.1742,-0.1187
SARC,Sarcoma,0.03643526502273235,0.029014350177715014,335.44100000000003,0.134852,0.0632102,0.78,-0.5293,0.4098,0.3563
STAD,Stomach adenocarcinoma,0.002419126428095614,0.014634591373765361,333.44825000000003,0.266103,0.220046,0.52,0.3909,0.2215,0.6254
LGG,Brain lower grade glioma,0.20406699565686442,-0.08236611220506866,504.19399999999996,0.082722,0.139307,0.75,-0.9994,-0.9439,-1.25205
HNSC,Head and neck squamous cell carcinoma,-0.05568036423668883,-0.0878138963040753,296.856,0.293707,0.189852,0.49,-0.0884,0.4581,0.64205
KICH,Kidney chromophobe,-0.13670692718733551,-0.1619059848203451,249.97,0.0776395,0.0577281,0.855,-0.7239,-0.6899,-1.7711
PCPG,Pheochromocytoma and paraganglioma,0.07894205017205236,-0.16528961297138384,402.411,0.0860956,0.133469,0.75,-0.76755,-0.5866,-1.67695
CHOL,Cholangiocarcinoma,-0.13069857337029905,-0.1813423556385014,345.932,0.117392,0.133269,0.745,-0.5013,-0.0549,-0.4023
SKCM,Skin cutaneous melanoma,-0.256618920482019,-0.2389336331320066,289.006,0.229057,0.0693141,0.7,-0.6955,0.1185,0.1865
READ,Rectum adenocarcinoma,-0.25402161111653127,-0.24353859159226768,306.151,0.120064,0.180525,0.69,-0.3289,0.03305,0.65295
COAD,Colon adenocarcinoma,-0.3014253942390649,-0.2768078587802478,273.3108,0.163076,0.155343,0.66,-0.3221,0.0136,0.6755
BLCA,Bladder urothelial carcinoma,-0.2994888844430741,-0.29822171344409215,374.291,0.197892,0.150473,0.61,-0.4297,0.0705,0.5382
CESC,Cervical squamous cell carcinoma and endocervical adenocarcinoma,-0.3524112074530953,-0.3361476326297187,260.51,0.205993,0.0920339,0.67,-0.20505,-0.0698,0.95815
UVM,Uveal melanoma,-0.45750223131689793,-0.4300570443391679,188.558,0.0277137,0.00496756,0.95,-1.41105,-0.7553,-1.21545
LIHC,Liver hepatocellular carcinoma,-0.43450919885684014,-0.4571608508937865,219.984,0.158121,0.0976147,0.72,-0.6494,-0.6765,-0.5157
ACC,Adrenocortical carcinoma,-0.48190966731978824,-0.4891252280598652,230.916,0.0557399,0.0563253,0.85,-1.1928,-0.7192,-0.57835
