exploratory_status,analysis,scope,n_samples,npr1_loss_freq,null_p95,null_median,null_mean,npr1_percentile_in_null,exceeds_null_p95,ploidy_source,null_spec,prespecified_criterion,genome_build,methylation_assessed,B3_verdict
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_NPR1_locus_primary,all 15 depleted types pooled,6648,0.03098676293622142,0.04933072642502632,0.04090840727929012,0.04165097022585386,0.8,False,derived per-sample: length-weighted modal Modal_Total_CN across that sample's own autosomal segments,"1000 loci on chr1q (hg19 124,535,434-249,250,621), same 15,355 bp locus length, matched on overlapping-segment length within +/-0.5 log2 of NPR1's median (76.9 Mb), seed 20260728","PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_NPR1_locus_sensitivity_ABSOLUTE_ploidy,all 15 depleted types pooled,6605,0.044511733535200604,0.06827385418488369,0.058810172570390555,0.05857072924321004,1.0999999999999999,False,"ABSOLUTE purity/ploidy table GDC 4f277128, per-sample ploidy rounded to nearest integer","same 1000 matched loci, seed 20260728","PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_null_unmatched_1q_reference,all 15 depleted types pooled,6648,0.03098676293622142,0.058674956285214686,0.046021958189201385,0.04537140229453405,0.5,False,derived per-sample modal Modal_Total_CN,"1000 random 1q loci, length-matched only (no segment-length matching) - reported as reference, not the pre-specified test","PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,BLCA,398,0.03768844221105527,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,BRCA,1048,0.012404580152671756,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,COAD,438,0.0547945205479452,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,ESCA,161,0.031055900621118012,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,HNSC,507,0.03747534516765286,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,KICH,66,0.6515151515151515,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
"EXPLORATORY — hypothesis generated BY the refutation, not predicted by the original screen",B3_per_type_descriptive,KIRC,518,0.055984555984555984,,,,,,derived per-sample modal Modal_Total_CN,not applicable (descriptive),"PASS = NPR1 loss frequency > 95th percentile of arm-1q, segment-length-matched null (seed 20260728)","GRCh37/hg19; NPR1 chr1:153,651,113-153,666,468 (ENSG00000169418)","no - conditional secondary read, not attempted because B1 and B3 failed; probe-to-gene mapping not in hand. Absence is NOT grounds to relax B3.","FAIL (NPR1 loss freq 0.0310 is BELOW the null median 0.0409, at the 0.8th percentile of the null - direction OPPOSITE to prespecified)"
